category,bodytrack,MG,streamcluster,canneal
runtime,28.475414752960205,39.8682816028595,125.43093967437744,158.73384022712708
l2miss,65299624.13162705,277249984.96753246,152980295.11002445,27221588.046979867
l3miss,2224141.6453382084,189419175.8766234,121874133.0969845,16820510.738255035
instructions,28422901416.30713,17287135578.701298,8903612588.516708,861563169.9127517
cycles,12599100602.559414,10163496230.357143,15301933903.227385,4423379479.791946
stall_cycles,1265642723.5831811,3232878610.4220777,10499196706.04727,3814909925.8120804
intra_coh,6955292.321755027,1336506.5909090908,10714121.466992665,62030.483221476505
inter_coh,0.3656307129798903,374.12337662337666,1.784841075794621,315.79194630872485
wall_cycles,2138793806.179159,2570954011.623377,2117599063.6430316,2211907962.073826
llc_size,401830329.7989031,447376822.8571428,743443695.5175223,247385644.67114094
local_mem,133650308.44606948,5524080507.012987,7785610035.533823,46806778.84563758
remote_mem,3649408.7020109687,12923267258.181818,24601904.612876937,1216282624.0
