category,swaptions,canneal,streamcluster,MG
runtime,58.7769455909729,68.57416367530823,116.31838297843933,391.8211302757263
l2miss,6770212.895888015,69652043.4551495,163947257.04416266,430451995.6604022
l3miss,21355.78302712161,47636339.41860466,130937171.24617404,309223911.7255881
instructions,26656186179.527557,2126321063.3554816,9543503336.230871,27501665443.487972
cycles,15620770826.47419,10610977033.72093,15126797281.005686,14153744398.031277
stall_cycles,3411111677.0253716,9055382505.23256,9995625663.637955,3296517900.9515047
intra_coh,5123870.3762029745,1747074.5016611295,11385702.151289899,117224.41582336708
inter_coh,0.1399825021872266,0.24916943521594684,0.9619588981198077,0.07096858982783545
wall_cycles,2125619312.703412,2362378972.44186,2118312461.4866638,2150318085.7247996
llc_size,34001888.64391951,323795740.0664452,750141619.0992568,619258957.3820475
local_mem,549286.8591426072,3721080736.7441864,8427518101.547879,27831809531.491657
remote_mem,71097.67279090114,9694320.26578073,27238561.189331003,74515353.58654225
