category,bfs,freqmine,CG,SP
runtime,38.712767124176025,102.98283815383911,117.3383002281189,157.89529275894165
l2miss,7558929.2328767115,48851841.300980896,639459241.2451023,661736898.5611511
l3miss,3315909.01369863,8673968.187919462,119562743.4218546,362445673.34859383
instructions,5544450656.273973,25443410832.514194,6583175523.569874,26279262216.612164
cycles,2267000950.2739725,14157415661.342281,16074693260.844578,17003167110.555918
stall_cycles,364754111.53424656,3578934005.2865257,12115801959.286024,6754285231.733159
intra_coh,277166.9589041096,12043510.056788849,271694.0879407923,51431.80510137345
inter_coh,0.904109589041096,0.6917914300464636,6.0600783630822805,2.2825376062786136
wall_cycles,2125566596.3561645,2215986924.8735156,2116819836.4301262,2145635504.0418575
llc_size,140830579.7260274,542919576.9127517,208530016.96125382,692700946.9195552
local_mem,329893859.9452055,529016606.79401135,7675170036.743579,29122984119.502945
remote_mem,3357597.808219178,4761087.207021167,54766069.96952547,154485796.83453238
