category,MG,bfs,freqmine,streamcluster
runtime,17.66741108894348,39.23883008956909,84.76860642433167,124.9799919128418
l2miss,3831868506.1801057,6936028250.0,345930667.77827185,691678353.9186232
l3miss,2888255257.210124,2951988175.0,58871745.96116793,549010344.0154297
instructions,256694822296.64508,3967065584150.0,179636710862.67972,40199608885.98346
cycles,121732662377.86934,1822247605325.0,98739038015.8589,63775953897.22192
stall_cycles,25119015711.006474,430150316300.0,24108259389.061806,42178831156.22566
intra_coh,2237277.2218952323,531756275.0,87287808.35927078,48578992.13679018
inter_coh,148.9111241907004,200.0,5.0392767155772935,13.908979637253811
wall_cycles,17005205902.295467,14553691650.0,12203065766.933453,8981921898.705538
llc_size,34268346236.60977,3006464000.0,33764692119.16407,38357481116.57579
local_mem,264434867004.1201,742195200.0,3089997630.9470873,33790975126.441895
remote_mem,5161528955.856386,75366400.0,326519254.1870461,2097978461.9264863
