instructions:u,cycles:u
3617320,3824581
2356242,2264061
3683405,2680486
4312447,2135828
2389119,2650505
2853060,2135782
3923304,3697616
3404190,3463537
4066826,3817225
3752955,3503209
3644142,3645783
4278275,4110802
3725769,4168772
11532229,8937880
2233349,2270576
4802268,2650652
5576904,4235506
4149771,3488508
2195126,1913357
0,0
12746,76071
1624907,1148665
385835,622134
4119158,1985343
5756656,1965056
1544623,934115
668137,684417
466346,799898
1181683,908771
690791,883570
788485,884616
1019896,898925
1573657,1053626
505347,773122
604648,864718
439709,775610
821850,1011106
559761,784059
692129,869172
537645,792415
735920,979248
2340669,2013138
4146948,1647958
6308129,2075660
6318020,2076089
6405219,2104719
6417705,2109000
6363895,2089714
6130207,2014287
6287997,2067664
6345768,2085125
6370096,2092501
6416448,2106570
6319882,2078070
6319732,2076933
6251075,2053601
6288462,2067044
6349826,2083499
6316868,2079209
6402017,2104237
6424175,2109076
4186418,2157927
4140846,2273125
3866006,2334942
3617847,2344441
3783193,2364930
3970724,2377040
3658401,2395557
3650434,2385359
3803832,2364921
3711612,2388134
3706226,2385985
3902265,2390018
3802011,2377693
3830101,2391827
4043213,2388476
3541987,2323403
3643075,2391529
3814486,2389930
3676278,2386331
3670330,2381549
3538606,2390544
3823259,2389312
3777296,2362220
3801759,2403818
3630100,2385943
3631553,2387481
3691714,2381433
3695422,2392141
3697774,2391358
3756168,2373358
3784182,2387893
3797381,2386231
3776725,2389120
3766002,2384452
3954353,2390176
3734601,2389547
3794770,2372579
3808746,2388528
3658715,2386194
3655458,2388416
3718589,2379666
3694926,2388000
3710734,2391805
2233260,1431438
None,None
None,None
None,None
67253,52877
3774870,2391772
3789270,2390053
3736665,2386656
3651461,2370252
3676729,2390412
3771105,2385868
3748920,2360604
3818137,2401497
3710188,2388638
3659618,2388700
3683201,2382725
3828051,2388260
3813253,2387383
3839954,2364234
3745139,2388960
3748586,2389388
3946261,2391204
3722698,2379773
3732549,2388052
3483892,2258203
3797708,2365763
3847776,2396817
3890040,2385702
3876706,2387105
3917147,2378518
3662229,2391240
3653994,2385951
3691994,2359831
3691094,2393908
3675405,2385022
3767789,2385656
3756081,2379851
3773563,2387756
3841120,2391394
3803028,2368606
3845493,2392681
3856692,2386033
3779985,2387092
3757359,2377217
3795628,2406605
3678519,2388507
3713262,2363432
3659485,2397209
3645512,2389445
3733386,2389900
3664922,2377499
3685869,2390292
3775400,2388104
3694695,2363890
3747767,2398190
3815486,2386629
3765008,2389444
3751816,2378379
3835943,2388007
3762490,2387307
3731141,2363958
3819251,2395002
3731383,2385848
3808912,2389012
3787845,2389223
3782648,2388942
3839342,2385740
3647420,2318987
3751567,2388246
3834685,2397245
3731112,2390928
3721492,2382858
3837317,2388420
3789963,2388045
3681416,2323317
3825578,2388666
3771599,2407687
3748914,2388166
3852093,2384058
3800338,2389071
3866258,2389909
3684744,2319088
3805213,2391472
3841191,2389732
3687378,2389395
890914,570834
None,None
None,None
None,None
None,None
None,None
None,None
2087845,1368769
3766221,2385837
3711330,2389085
3689780,2373253
3774854,2392652
3666038,2385800
3668617,2386167
3812732,2389906
3778657,2386035
3776927,2385834
3803368,2376646
3745339,2391742
3779011,2391761
3806309,2386852
3778582,2392278
3838551,2389744
3703780,2391039
3712577,2395992
3806799,2389798
3800140,2387858
3781937,2384493
3855748,2392928
3747746,2388170
3747065,2386790
3799548,2381607
3742968,2391528
3733616,2388271
3789969,2371873
3746685,2389415
3818464,2389652
3673951,2390143
3650473,2382450
3777823,2399145
3786073,2386381
3753622,2372099
3833920,2391155
3701540,2386171
3708315,2385418
3802168,2382826
3775081,2398697
3754715,2385115
3797063,2384024
3722418,2390723
3720887,2389380
3884842,2387805
3791240,2377474
3878154,2388797
3778332,2391072
3763028,2380944
3846215,2403510
3690280,2388008
3693968,2390273
3775756,2380061
3748495,2400249
3731014,2386797
3719928,2360690
3679952,2391617
3683860,2390380
3801514,2385883
3722296,2376998
3811445,2390165
3778158,2388610
3777808,2392670
3851126,2407308
3626341,2389647
3627247,2389667
3688880,2375948
3668184,2391592
3665378,2388540
3746450,2360720
3820910,2393462
3798539,2388824
3823990,2386071
3717416,2380216
3730114,2388464
3796883,2391692
3716755,2384095
3727120,2392203
3810693,2385843
3748202,2390665
3820558,2380873
11397234,7122472
3344561,2129114
3765277,2390245
3845361,2391527
3748781,2370624
3773498,2388104
3854565,2387647
3750066,2363943
3782882,2387712
3771436,2385713
3699646,2394714
3691873,2381037
3731870,2391647
3674470,2389944
3713172,2362726
3767881,2387751
3761732,2385778
3843337,2393553
3737911,2376680
3754193,2390132
3802147,2386174
3641124,2361645
3727476,2389761
3801555,2385423
3741517,2391070
3723330,2379611
3827509,2387938
3767918,2386333
3737601,2358792
3817905,2392072
3765943,2386200
3836412,2388247
3775394,2397350
3766132,2397537
3822016,2386267
3718863,2364447
3750962,2387629
3759351,2386043
3649183,2388219
3634503,2379206
3748553,2391071
3681239,2390900
3643451,2365726
3837444,2390800
3776463,2389565
3824343,2386837
3709929,2384414
3691163,2388021
3816303,2391052
3721940,2364331
3776660,2392713
3828927,2389301
3722803,2385847
3707591,2382543
3827254,2388504
3794836,2389130
3742648,2367054
3849462,2389705
3771462,2390117
3771453,2390133
3838335,2381781
3780452,2390033
3850531,2387889
3764719,2366659
3820875,2403548
3874862,2386809
3848885,2391079
3814921,2379948
3886989,2393466
3796295,2393365
3738690,2364332
3792965,2389455
3683410,2385618
3685098,2388828
3708181,2379928
3648526,2390490
3717050,2386672
3641221,2363570
3678629,2387314
3768402,2386316
3730769,2387129
560939,354268
None,None
None,None
None,None
None,None
None,None
None,None
2067973,1337498
3801298,2388287
3755714,2385937
3741566,2374390
3837083,2386980
3761605,2387161
3686559,2341047
3844769,2395430
3753144,2401940
3737158,2389965
3819965,2377306
3785394,2389877
3778432,2388511
3802451,2373422
3765823,2393664
3749850,2387344
3802875,2389229
3719069,2380884
3808899,2387351
3799995,2389002
3777222,2382246
3862136,2395329
3738446,2385926
3748696,2386133
3825660,2379926
3787231,2387320
3792611,2390747
3850372,2373957
3804541,2390542
3811109,2396228
3769305,2390259
3679204,2383792
3775556,2388599
3711242,2388500
3694753,2376594
3785660,2392811
3675585,2388449
3672059,2386709
3768184,2378282
3782098,2388805
3815899,2404209
3809343,2373692
3744760,2389702
3757396,2394755
3835669,2386732
3755348,2380216
3773005,2388745
3772730,2388965
3687442,2380127
3795167,2391446
3802448,2394043
3785296,2385934
3835781,2378448
3749063,2391026
3744698,2386363
3815802,2385674
3740254,2389022
3731573,2390224
3814024,2387494
3729445,2380463
3761289,2390961
3749839,2388175
3649063,2385212
3719441,2392153
3814184,2392627
3793861,2389550
3827613,2378955
3720464,2392002
3707694,2385840
3796773,2383348
3768581,2388287
3762676,2387690
3837672,2401842
3706245,2381407
3722649,2390678
3877450,2393925
3784926,2368672
3815318,2390844
3862267,2398608
3776185,2388800
3824328,2377737
11119886,7135244
3718685,2393382
3732394,2389094
3770003,2385711
3644579,2372113
3679951,2390681
3795633,2391093
3706200,2366950
3742713,2390661
3833396,2387065
3776002,2389941
3753373,2376116
3718508,2389902
3633243,2387668
3685389,2365068
3681990,2388069
3683103,2390877
3817081,2389414
3781761,2378117
3805428,2393401
3841328,2390134
3693503,2366120
3732660,2391895
3835717,2412492
3715242,2388180
3698678,2373038
3825915,2394117
3751818,2389801
3702306,2366310
3862295,2387305
3796106,2388905
3860169,2387551
3741925,2376780
3769526,2388978
3848304,2386674
3727192,2362569
3784084,2393968
3852069,2388812
3786179,2387941
3766694,2377656
3790057,2390343
3691339,2386079
3650646,2361480
3757463,2396409
3667272,2390372
3734638,2386171
3755259,2380238
3778755,2393352
3836469,2388037
3723793,2368051
3758752,2393883
3815414,2386610
3716786,2385825
3704800,2377837
3808045,2391401
3762067,2403185
3700149,2362817
3831259,2391272
3763895,2388261
