category,nn,freqmine,CG,SP
runtime,77.92750811576843,89.22557020187378,110.19635081291199,173.4849615097046
l2miss,98573095.84105961,78529079.82445875,675287910.7491857,591486295.0252901
l3miss,13048.026490066224,49487587.02165008,127811232.62912983,333075959.4108896
instructions,9331026483.218544,28846885302.609715,7093820713.727314,23968329159.952396
cycles,16330845905.960264,19449190196.395554,15297699475.141926,14298700466.52782
stall_cycles,10321004269.072847,7296587868.624927,11021442903.331783,5028707985.349599
intra_coh,71088555.37748344,15670587.887653599,297255.5048859935,43539.63106218387
inter_coh,1.8278145695364238,9.631363370392043,1.4518380642159143,2.11841713775662
wall_cycles,2129997085.509934,2121447934.932709,2123263873.410889,2146969887.8786075
llc_size,687700062.9403974,116619567.18548858,230956914.95579338,686728364.7485867
local_mem,142393669.50993377,2615046692.84962,8253974061.982317,24649753641.130615
remote_mem,2069375.1523178807,27510547.92276185,67142531.63331783,238589647.93811366
