category,nn,freqmine,streamcluster,SP
runtime,77.26706528663635,112.1819486618042,133.37262320518494,229.68207955360413
l2miss,100658839.55823293,82677781.42721218,142961430.28244275,482767945.08192945
l3miss,12771.044176706828,39103850.49476689,114208685.90076336,279930020.66466653
instructions,9234004667.898258,23463773809.23882,8430640086.992367,18546656673.644127
cycles,16311303302.91834,18924688893.634636,14758105582.770992,13372378805.732748
stall_cycles,10410667029.170013,8594159262.340628,10217935916.57252,5952694121.947842
intra_coh,73587241.79384203,14252535.328258801,9966667.24427481,66287.86522040157
inter_coh,1.820615796519411,386.52711703139863,3.2595419847328246,417.08285252711744
wall_cycles,2128207965.3279784,2177922871.446242,2118895126.8244276,2206711289.466882
llc_size,693833229.0227578,242963340.05708846,741221164.9465649,407358345.1280868
local_mem,142672837.0548862,3124447818.534729,7902853166.9007635,22817518930.182323
remote_mem,3533855.528781794,136895412.9781161,50593291.72519084,1084685080.636972
