category,MG,canneal,swaptions,streamcluster
runtime,17.828730583190918,57.51458978652954,61.59847617149353,121.44733095169067
l2miss,3667104523.0855856,1069894841.2610618,1622290443.438914,698928790.0403768
l3miss,2779417994.3693695,591515015.4867256,13466203.619909503,557167751.0094213
instructions,246114792711.14865,33620710510.50885,5572784773791.8545,40465378516.48721
cycles,116992285622.74774,119510091803.37389,3536870547276.018,63586747257.17811
stall_cycles,24365109404.842342,95767788735.89603,858854625520.362,41865374114.43846
intra_coh,1014142.4549549549,3054288.1637168145,1353653773.755656,48438500.336473756
inter_coh,14.63963963963964,3.5951327433628317,954.7511312217196,3.738597278301181
wall_cycles,16296077769.144144,13557932993.63938,11096073402.714931,8848804110.213848
llc_size,34945706666.666664,41338680637.16814,830320361.9909502,34585516542.545235
local_mem,251311629837.83786,40424656424.77876,19571837.1040724,27600978385.52415
remote_mem,4394417585.585586,831379256.6371682,12454805.429864252,1488961847.1661434
