category,bodytrack,canneal,CG,SP
runtime,28.35960340499878,62.776058197021484,108.43768000602722,170.80623865127563
l2miss,58150111.992619924,70478831.70423804,690580723.5697287,609721850.0212443
l3miss,2108960.5535055352,40122474.10279531,130566876.25892432,337700238.4157815
instructions,28526313358.487087,2311939386.167719,7095628094.08853,24459317113.377842
cycles,12603498113.210333,9287039169.540127,16262525599.600191,15300055808.109257
stall_cycles,1254381547.0848708,7662853015.184851,11987744607.120419,5758482594.47648
intra_coh,7004369.520295203,203070.0991884581,303810.35697287007,42529.5660091047
inter_coh,0.18450184501845018,0.5049594229035167,2.6368396001903855,4.218512898330804
wall_cycles,2144180976.4944649,2315140293.417493,2120418267.9200382,2144692416.0485582
llc_size,411183988.1918819,512662894.57168627,284495487.93907666,662565976.5705614
local_mem,118588722.06642067,2791428210.495942,8351708830.157068,26844438242.088013
remote_mem,2055557.1955719558,6386953.00270514,26579355.354593053,171233335.93930197
