category,canneal,nn,SP,streamcluster
runtime,71.41843271255493,79.55396366119385,154.91905784606934,172.7880516052246
l2miss,1793801478.7185354,4383805547.459893,4212592797.6804676,650608025.9471952
l3miss,1011373705.7208239,1057840.2406417113,2406945024.389204,538110597.0656208
instructions,55330206229.29062,400491144803.4759,167498262768.0041,38298490723.33497
cycles,200136025781.69336,724904737177.8075,106118567045.6658,82709141826.3884
stall_cycles,161043244208.23798,467443524258.0214,41314432659.062805,61811438470.97135
intra_coh,4442857.208237986,3244312209.224599,383954.1636464418,45579606.06485048
inter_coh,35.69794050343249,445.18716577540107,68.90376497676203,61.313817494222285
wall_cycles,26426929763.844395,19253699812.834225,12864567175.37202,11461354701.44968
llc_size,37341033094.73685,13815435636.363636,35820770997.654884,13553408412.353806
local_mem,47897607967.04806,1237649112.2994654,181664900600.8613,32364138243.85461
remote_mem,5460573495.652174,91995721.92513369,8691636203.129663,2152287791.5820436
