category,bfs,canneal,CG,SP
runtime,38.552915811538696,58.51240110397339,141.30384922027588,157.65540862083435
l2miss,1745590535.483871,1182841050.79464,3289801910.57657,3267502333.560466
l3miss,803028703.2258065,668506370.5204113,620275021.713184,1911658821.7657938
instructions,1045935069516.129,37937831919.60112,33266236748.576935,129158706912.81352
cycles,443260003090.3226,136698157109.6915,90468476875.18362,83152896742.65875
stall_cycles,78740530122.58064,109919215770.33344,70045162353.1032,32973510684.837273
intra_coh,44543361.29032258,3618927.0800872548,1422590.5710613295,329397.12515006977
inter_coh,1374.1935483870968,14.023060143346836,11.79764965112009,20.409487653720106
wall_cycles,17721069883.870968,15265804811.156124,11624673435.640839,10487365341.21808
llc_size,1462087019.3548386,37410885564.350266,8632761489.533604,34518412356.014145
local_mem,2547447741.9354835,41408540719.22717,35361097424.89901,153229913195.88565
remote_mem,1449402632.2580645,1004381576.8152072,1646489712.8167462,4508331995.716928
