category,swaptions,freqmine,CG,SP
runtime,61.55300831794739,84.8954508304596,136.48621106147766,154.10413932800293
l2miss,2552435563.218391,1016925734.6214511,4961226578.705956,4384851304.376512
l3miss,18941126.436781608,154726021.0962145,940090909.5837098,2478807956.05894
instructions,15632940651896.55,476232921608.6357,51277759139.96803,174567096100.28592
cycles,9321687218724.139,259930068396.0962,129259543293.69656,109582485019.74928
stall_cycles,2075854163931.0347,62374899499.605675,97633127429.91173,42092043766.26347
intra_coh,2013474517.2413793,260779390.37854892,2210432.205156717,408606.1139212668
inter_coh,11218.390804597702,89.90536277602523,21.683230245326293,26.918847591818782
wall_cycles,47321398724.13793,29098125125.39432,16397397938.494684,13156507180.338684
llc_size,660633011.4942528,32607584100.94637,6830473545.06915,36276619006.81768
local_mem,47457103.448275864,5053236492.113565,51062350032.94183,173517740179.28305
remote_mem,24105195.40229885,1110687899.053628,6486078198.623949,16028517285.243017
