category,bodytrack,canneal,streamcluster,MG
runtime,28.436100482940674,65.00414156913757,128.51609826087952,385.8844780921936
l2miss,60683264.48529412,71075768.0610413,149296004.36726546,450710816.46688557
l3miss,2095616.0661764704,39741111.86714542,116546562.91417167,322062828.6261631
instructions,28442066199.117645,2300713281.2567325,8711404750.922155,28629276303.136288
cycles,12601008530.955883,9182494636.678637,15245616647.74451,15095936597.419266
stall_cycles,1266291175.5882354,7570864372.154399,10542904920.662674,3770449589.770115
intra_coh,6987935.220588235,197076.2118491921,10259332.295409182,1418384.5539135195
inter_coh,0.14705882352941177,0.2154398563734291,18.72255489021956,0.5254515599343186
wall_cycles,2143237141.5441177,2376681200.664273,2118119205.2375247,2198201175.4980845
llc_size,445490597.64705884,565921597.1274686,602204940.7744511,621186042.955665
local_mem,121347614.11764705,3047554601.3644524,6116897920.766467,29011481322.561573
remote_mem,2597345.882352941,5667628.581687612,16720182.674650699,74937384.91516146
