category,bodytrack,freqmine,streamcluster,SP
runtime,28.679271936416626,85.19276261329651,118.86304569244385,237.36769890785217
l2miss,65897243.795620434,64188328.63881402,161892814.6942291,438727038.7180597
l3miss,2150847.080291971,12514902.911051214,129374953.4883721,232247720.04763967
instructions,28259367074.744526,33214603063.436657,9419373067.510767,17356344069.380684
cycles,12534208704.343067,18458547443.611862,15209853095.417744,11281403168.839323
stall_cycles,1256527401.131387,4652560500.283019,10145095168.475452,4512886870.653962
intra_coh,6867845.583941606,16886645.741239894,11431050.895779502,20801.637072325684
inter_coh,0.4744525547445255,0.431266846361186,2.360034453057709,0.2728453876136856
wall_cycles,2151714486.8248177,2367582381.38814,2118712008.5185184,2134837058.1463838
llc_size,487736133.1386861,635137462.8571428,740782591.559001,459277366.5482893
local_mem,124193111.82481752,775613260.5929918,8632345472.11025,18793963360.34647
remote_mem,3578169.9270072994,8101910.080862534,33781239.62101637,106275039.51494154
