instructions:u,cycles:u
2421859,1153961
6621088,2299016
6759830,2282784
5025897,1990456
6356242,2270024
6491496,2392578
781903,859575
5025528,1869366
None,None
8755,75256
852523,888245
905342,856097
977351,881693
954996,845809
971524,853644
992248,844211
1400469,982213
784677,641823
111073,190726
911666,868567
926786,835304
953772,844526
1001901,861284
1055151,903157
1423216,975703
999298,905464
4614,7754
640554,434012
1070033,885906
920930,883719
1436818,977063
1099899,943609
1364951,1054130
993893,886363
967431,884493
1076062,876071
945916,871165
1479277,1049971
986247,891273
999312,892407
1015056,896338
983916,885865
1515122,1044427
906618,860824
1126872,931941
1038073,898072
1007966,896231
1530239,1081688
1060337,909809
1072892,907546
302940,440266
1087736,929887
1054895,924486
1125454,937453
1353681,970474
1111244,885892
1114964,906528
1147709,927242
1388547,956482
1095416,784737
1343189,951728
1294628,946913
1389474,1005571
1324513,962993
1405720,1000934
1356652,1009221
1283675,940375
1505533,1092422
1247215,925564
1205173,951760
1252818,954891
1434685,1007566
1371027,978819
1319246,974213
2059809,1594558
1190927,891282
1032962,940336
1502632,969282
1332250,958514
1158797,925504
1335123,938519
1038192,905913
1572654,985480
1285822,818690
1204080,909894
1351752,987768
1080274,889454
1259823,921092
1400855,981603
1550421,987398
1516412,1004547
300160,409955
1382883,982015
1237613,948553
1224958,919061
1118542,947152
1581333,1045659
1556507,1020978
1545173,1034479
1683434,1222769
1149295,771638
1394681,983084
1026715,895895
1309195,923944
1469736,972269
1515657,1001172
1283300,937388
1347139,952742
754218,535272
1128963,841697
1347917,956463
1120701,874671
1599602,991040
1477519,1035579
1700894,1020017
1247832,977536
1281018,707385
354379,528004
1529338,1003863
1291704,969530
1335714,946837
1121548,915017
1612758,1017762
1592598,1025795
1316492,954901
910176,596479
1223457,936403
1361220,954459
1211165,949218
1578836,977033
1418646,1033141
1757058,1022246
1549721,1068609
1503343,783847
1050446,868205
1169070,938942
1273025,958762
1215396,975605
1214541,929406
1291796,966540
1606439,971718
1497703,993522
14873,22605
1032136,885619
1533695,999127
1236598,987079
1469700,1020717
1687465,1028454
1469509,996534
1630847,1053781
1130464,740604
594003,675572
1247447,942817
1711344,1035003
1422214,978647
1202303,890537
103064,125918
1583922,1033423
1234776,962923
1465478,987426
1736600,1033717
1591142,1056824
1078786,880759
1684179,1079049
1183077,755845
662126,734652
1123293,950822
1290526,911542
1821991,1123097
1511779,963974
1117236,917329
1642899,1039199
1207625,752714
2630,38720
1276909,924441
1224191,950509
950758,861977
1523736,961291
1535045,1025075
1293814,958081
1652745,1042498
1328823,979128
1350586,813765
1908738,1097525
1543608,1065145
1245274,964798
1470161,981516
1391034,972751
1281373,963601
2672961,1472625
861147,781061
1306748,981250
1326971,989119
1636533,998694
1395023,1024786
1485340,981048
1879435,1104934
1741571,1089966
1025328,697538
1250829,885124
1355392,977776
1244430,979648
1337082,919240
1938510,1099369
43448,57423
1600593,1020587
1382746,961196
1797638,1076125
1445616,1000609
1616186,1089151
2009049,1132500
1634517,994294
1420908,922373
11254,74893
1891685,1071714
1340550,1015189
1110873,904170
1241010,978434
1816275,1026778
1661044,983539
1415032,1024000
1947928,1136982
218247,284999
1502744,1000210
1571279,1003680
2049892,1162625
1807835,1115070
1514739,1003033
1899691,1065491
