instructions:u,cycles:u
4770251,2112612
1545852,739151
2868335,1913649
2793530,1928849
2056456,1358507
39310,36229
2791045,1914787
1367894,949743
3066040,2003055
2928604,1979963
2328570,1413123
7090,23563
1895278,2224517
506700,459822
2736238,2141273
3080616,2163873
1815234,1497304
2234342,1631290
1241362,963752
0,0
208787,349366
2732091,2219693
1705952,1453448
None,None
1495,13478
None,None
2598869,1984034
1379176,942354
2560894,2061515
3163420,2168748
1910318,1686434
None,None
2496618,2115176
1019449,948496
2609131,2147061
2587176,2097225
2279900,1559842
None,None
2331279,2101478
1060286,933733
2196035,2145880
3286946,2219042
1938768,1672685
None,None
2155144,2062564
717415,662293
3164046,2214799
2881221,2010738
1831440,1529085
None,None
2258444,2036805
1347772,749555
2081783,2057408
2497241,2169386
986219,1132121
None,None
439,4974
43968,119557
None,None
5922,27215
40787,98348
346424,252806
3126754,3172632
6743707,5719502
1643635,1543444
466153,483059
1093686,1131505
12939,41177
1851,7625
22309,54992
97,1346
1224272,1148138
1876,9903
382600,377741
2427820,2256753
3190329,2961969
2267533,2133460
2484492,2098969
92817,55031
2426149,2634964
745013,732787
1984174,2255834
2777714,3152529
1731392,1578204
None,None
3400480,2105752
1949592,2105989
3477209,3068524
2683002,2134287
1734371,1719283
None,None
3166750,3320311
3524278,3385921
3792987,3266357
4996053,3864318
976422,892368
10512009,3804691
2481517,2114251
3900719,4511749
1319687,1460502
3169284,3825031
1675340,1370078
423703,392245
136245,194211
3968404,3080213
2430007,2095506
1035804,970007
4662463,4201169
3445698,3178944
8090642,8272278
4249214,3962510
6405097,4890538
3480925,3358581
5381945,4293329
7326743,6396662
3297123,3436820
4814795,4372521
4320708,4090063
1560116,1596368
None,None
2426354,2996379
3034323,3136945
5741800,4930067
2681942,2786978
None,None
2649502,2957139
2418271,2633741
16150904,14773714
5764161,4852918
None,None
4137724,3735230
3770701,3654605
None,None
6824103,4088345
7738526,6065258
5736820,4943187
3497930,3911233
960496,1121014
2267446,2439918
2867863,2279436
8403645,7627978
7093453,5277584
6696626,3228748
2081280,1332034
7580928,7440553
3384319,3950391
2588809,2447879
2942658,2952012
313613,544522
3482028,3210576
4402992,3690127
3447949,2888056
4414750,4487097
2649040,3026561
1000435,809677
2535762,2136933
2979563,3048866
3980717,3553742
12331589,10179896
4274523,3694083
6476,35209
4448150,3815848
2503160,1426850
5604159,3456908
1804740,1987342
15297,35500
3083138,2062813
1085698,813708
735985,817579
142537,179124
None,None
0,0
1585064,963207
46330,168560
3534,45568
382426,569319
158185,257576
3371974,1588143
7127583,2355403
474774,210367
542362,665435
414878,367956
9854,17003
223146,363250
11586,54745
181978,341049
863639,812906
426743,379010
760197,788849
319627,355992
740031,701412
661688,709290
1562843,894833
36677,110832
390472,559823
692702,1056193
39048,140781
393505,575612
412611,546928
540996,726297
64571,143601
760805,837717
58178,147436
378548,503429
12421,51198
439813,700751
321291,432862
646902,802604
82419,95035
3614,41384
2015656,1418976
4932993,1930480
4179384,1499942
None,None
4747672,1721565
2072850,752927
5921374,2131765
5898922,2124477
2661387,1018392
None,None
6824663,3866407
4197937,2382502
3624479,2347734
4140212,2384198
7427,None
3312178,2100767
1508967,1017207
3795706,2384632
3900232,2381236
2494832,1678914
None,None
3646201,2322894
1732574,1010175
4002964,2387422
4069343,2386278
2838644,1763984
None,None
3257395,2036529
1417348,957691
3676159,2387555
3798302,2382877
2821976,1709662
None,None
3595916,2166743
1665022,971902
3807464,2384592
4089755,2384086
2911675,1732280
None,None
4050401,2345950
1327811,756991
3970108,2300738
3833937,2399144
2977032,1709161
None,None
3279661,2062509
1458583,956455
3967388,2365057
3713461,2362367
2758192,1773894
None,None
3871438,2342898
1338473,803241
3901596,2365402
3969803,2362668
3039279,1766337
None,None
3542538,2166712
1652127,997717
4025702,2363960
4092436,2361253
3095152,1778684
None,None
3713121,2346555
1417217,799190
3825222,2368684
3946867,2380862
2681009,1687451
None,None
3733126,2340787
1298787,764026
3817395,2367074
4051868,2400499
2842937,1726399
None,None
3716982,2343215
1229170,751962
3843135,2387101
3890855,2383702
2645508,1656390
None,None
3866988,2347703
1446814,857931
3922659,2364652
3868774,2361950
2792659,1774829
None,None
3786794,2324248
1398981,836288
3939868,2363261
3891924,2364597
3045068,1864769
None,None
3762037,2327900
1350078,815136
3925956,2365259
3868344,2365168
2914184,1861628
None,None
3723420,2325543
1609158,985793
3925555,2386545
4054830,2400512
3014286,1797886
None,None
3707549,2229630
1634400,1019456
3700791,2382175
3809464,2384264
2954281,1740485
None,None
3884147,2339669
1548357,961997
3854770,2386297
4002000,2384328
2969882,1816213
None,None
3716961,2328508
1323555,816198
3707992,2293876
3837069,2383669
2850604,1742825
None,None
3736512,2334568
1358854,811783
3907129,2387281
3994097,2382306
2789419,1752725
None,948
3922664,2376031
2468073,1462495
3682210,2162576
4022293,2327603
3889142,2374953
None,None
3852412,2340446
665696,417546
3682249,2335247
873004,532771
3293920,1979028
714314,428357
3790833,2340857
816750,476891
3420092,2081058
745147,424196
3457891,2133567
652380,421010
3803454,2356385
658812,411795
3765339,2344560
822964,491728
3715986,2340134
861894,523994
3499996,2064518
684694,415565
3870808,2339467
872965,515209
3352206,2120065
642652,414013
3493911,2120495
674994,413966
3555324,2127372
738060,428532
3647454,2242157
632515,386144
3590841,2209381
774396,453205
3803808,2353434
713073,439564
3410079,2045411
697670,408085
3821269,2359788
756517,457426
3087273,1973774
690306,432024
3530366,2183376
754622,435110
3825890,2342376
900498,525515
3902674,2346139
863516,516029
None,None
3881902,2327380
882683,526840
3714110,2348946
758483,481063
3581719,2294174
666578,427189
3969561,2359104
772827,456434
3907733,2355111
677876,434025
3775072,2345880
846912,481956
3746524,2288952
688932,431242
3479487,2084749
647551,411662
3368469,2141628
683961,433468
3843454,2356527
701690,445937
3806821,2345774
820590,523069
3770231,2345205
909089,533172
3827909,2356964
751076,443594
3859309,2342392
822871,523674
3805250,2346437
891569,525888
3507889,2084905
755518,433648
3957678,2341051
899894,532592
4028414,2341431
825351,528134
3843407,2342343
840141,528908
3658545,2344353
880135,529007
3850147,2347112
873651,524908
3799751,2346466
823146,480263
3849599,2342959
882515,529101
3499742,2193507
721714,434698
3624837,2251960
3787577,2344368
3792706,2362108
3966658,2387886
2818553,1686740
None,None
3531150,2100679
3688083,2327371
3739963,2315089
None,None
3727846,2339352
3759508,2327620
3841833,2309491
None,None
3703312,2344039
3907706,2328080
3663626,2318222
None,None
3755681,2329062
3911031,2328683
3947991,2380055
59432,31299
3156076,1973732
3687265,2339243
3634735,2316842
None,None
3539901,2251679
3698609,2328214
3938029,2347035
None,None
3850209,2286893
4008576,2370374
3610207,2263562
None,None
3407064,2038234
3922290,2327752
3755737,2318629
None,None
3706712,2207998
3809033,2328592
3780107,2342152
None,None
3762451,2328034
3759277,2328615
3988286,2383493
26086,10307
3995032,2332008
3892321,2330315
3726025,2337316
None,None
3562909,2164721
3865760,2327618
3746943,2313344
842761,523567
3853201,2385585
3889856,2386321
1787488,1092638
3398010,2187215
1394518,829694
3981364,2365616
3894183,2381152
2730502,1675846
None,None
3805456,2325843
1593339,946220
3923589,2386711
3965468,2363719
3061112,1833492
None,None
3592733,2144631
1523377,956791
3858424,2387663
3993127,2380310
2882412,1729510
None,None
3179608,1983994
1671647,1035149
3809997,2363256
3914098,2364302
2848778,1782051
None,None
3509000,2120275
1617853,989083
3721736,2364778
3967164,2395868
2937663,1754968
None,None
3749446,2275605
1658810,1027745
3690013,2363967
3726633,2360193
2821193,1787362
None,None
3588659,2327100
1278145,799362
3927796,2362844
4069549,2383017
2891927,1733473
None,None
3782850,2325785
1613817,1014262
3970912,2383106
3976683,2365427
2981877,1838703
None,None
3758586,2258978
1680136,1020088
3902719,2384788
3793137,2384801
2838386,1735142
None,None
3741154,2333795
1686372,1018199
3970879,2366958
4183173,2403410
2831853,1772332
None,None
3754104,2328912
1683983,1025052
3922501,2363053
3836326,2370477
2957745,1851504
None,None
3552917,2140028
1593195,989224
3780939,2363869
3750947,2359862
3007572,1778851
None,None
3801346,2340581
2980685,1793870
3808245,2361938
3952791,2328298
3861956,2346500
None,None
3847523,2336415
1470625,877504
3994022,2385684
3830038,2383742
2988371,1800218
None,None
3572625,2147979
1678778,1013537
3769151,2367740
3895695,2376701
2848894,1740180
None,None
3747487,2351632
1654802,1017516
3968681,2366459
3746932,2384943
2858987,1763029
None,None
3848498,2331978
1699282,1026412
3950854,2367109
3710344,2367496
2937285,1856846
None,None
3673160,2346938
1599758,1021688
3667557,2366007
4006171,2384047
2985226,1763952
None,None
3774934,2248311
1764533,1061726
3820493,2370919
3957556,2380755
2859411,1694772
None,None
3793309,2333840
1280828,793822
4048584,2388517
3908632,2399887
2881959,1791133
None,None
3303560,2058451
1593808,975270
3803881,2366764
4010507,2364130
3093933,1768404
None,None
3541554,2092702
1462215,933477
3885770,2367234
4129223,2360941
2868712,1767867
None,None
3831896,2327879
1731763,1010160
4000856,2365467
4063710,2362714
3155714,1850224
None,None
3699749,2145177
1634894,965859
4080187,2362943
4092726,2382894
2938491,1755938
None,None
3963149,2325752
1255363,776883
4162298,2391941
4094300,2398736
2914434,1682761
None,None
3442479,2043960
1539802,896216
4102232,2366634
3864106,2363723
2933340,1787532
None,None
3852931,2330177
1416442,836876
3913468,2251091
4072130,2384206
3135277,1786534
None,None
3931993,2347322
1886188,1093321
4041639,2361076
4115011,2383829
2933986,1697558
None,None
4030500,2348002
1320014,763747
4024973,2390728
4126038,2384320
2943260,1735888
None,None
4007482,2343279
1359148,830226
3996477,2371678
3969790,2402541
2907558,1682738
None,None
3521439,2035227
1459584,889155
3957212,2363067
4005262,2360966
2981085,1784330
None,None
3649792,2187087
1355613,773503
3972182,2297189
4074633,2384678
2903395,1669517
None,None
3530970,2085976
1362517,775365
3943880,2292169
4217077,2382919
2914953,1669464
None,None
3870925,2344595
1633874,1025529
4029656,2365367
4052441,2390207
3035783,1769331
None,None
3975427,2345029
1350834,783703
4004851,2312071
4103303,2398880
2878660,1668570
None,None
3855440,2265241
1672720,1025800
4007975,2368455
4132316,2373988
2995538,1763093
None,None
3749180,2173036
1665067,990374
4010096,2367014
4133297,2386761
2867102,1736462
None,None
3759111,2330305
1417286,852623
3943578,2364693
4114472,2372148
3174036,1849373
None,None
4038111,2327427
1589049,987025
4084730,2368754
4061834,2364599
3190454,1857793
None,None
3644948,2104749
1679056,989486
4084226,2367559
4035295,2365427
3062327,1770224
None,None
3485345,2061402
1558377,936358
4023617,2366149
3996269,2366455
2943099,1773879
None,None
3707607,2181486
1401796,785345
3766308,2231536
4018425,2368738
2851476,1693940
None,None
3887776,2345192
1333991,803625
4025374,2363982
4120559,2362752
2878257,1696445
None,None
4023221,2349793
1784515,1048134
4013296,2369390
4149076,2360455
3152070,1797767
None,None
4079467,2360878
1489075,937448
3890432,2367246
4103488,2383227
2845781,1689100
None,None
3441794,1984069
1472984,888600
4082169,2368695
4027852,2360652
3099980,1789559
None,None
3941904,2290574
1349401,776913
3833016,2294025
3993799,2384257
2977202,1686872
None,None
3861848,2268016
1671888,965724
4005128,2368668
4108684,2380293
3032579,1752190
None,None
3234837,1960140
1252237,788753
3902389,2364839
3980055,2381146
3088600,1755528
None,None
3565873,2095928
1644003,974307
4081308,2366936
4102901,2384760
3013431,1757033
None,None
3974086,2330064
1401478,806994
3997573,2306919
4120131,2381546
2944764,1732185
None,None
3957951,2344627
1404732,787947
4108272,2366609
4141118,2381027
2845823,1675604
None,None
3853449,2332997
1753760,1010258
4160431,2387206
4221330,2386296
3098910,1801317
None,None
3452196,1993490
1297438,784248
3776428,2277818
4068070,2382613
2769266,1630663
None,None
3525956,2022232
1377155,780599
3957679,2282530
4109769,2381363
2943583,1677390
None,None
3989082,2333661
1387230,798442
4005286,2362048
4169398,2365364
3197042,1821828
None,None
3684871,2137328
1621510,929574
3943797,2365950
4059612,2383054
2856718,1711765
None,None
3468513,1968973
1484297,855096
4220729,2386063
4165558,2381435
3047118,1731335
None,None
4010338,2345382
1411660,824693
4159749,2368805
4177607,2361965
3041641,1773510
None,None
3998895,2327364
1518767,861608
4145077,2364720
4111670,2363359
3232612,1860211
None,None
3594784,2087153
1723083,1019145
4027091,2363946
4223156,2382837
2953792,1687061
None,None
3417370,2012067
1360341,762507
4054572,2323030
4213947,2381228
2963064,1674132
None,None
3725648,2124230
1405280,782098
3978422,2296880
4216000,2383422
2958200,1684092
None,None
3943909,2255577
1735084,1022033
3990320,2385835
4147280,2360223
3064787,1735361
None,None
4138859,2345631
1783381,1024586
4095819,2366409
4203911,2363961
3068369,1775918
None,None
3976170,2336996
1781766,1021426
4189662,2366602
4119389,2360685
3252315,1859298
None,None
3904484,2230698
1775788,1019558
4079020,2363393
4157025,2361374
3137198,1770624
None,None
4083836,2337927
1412329,790781
4028971,2297069
4005357,2381464
3057661,1700024
None,None
4102042,2333776
1428607,810024
4068897,2291801
4171454,2383920
3030144,1720793
None,None
3754727,2179826
1629107,963002
4197697,2387601
4213046,2382918
2941145,1711117
None,None
4015471,2333737
1407844,786454
4110146,2339307
4158364,2384908
3007573,1681943
None,None
3934509,2327204
1523489,881219
4096036,2388599
4203451,2382492
3154897,1814492
None,None
3418313,1993414
1368793,776438
4032492,2286867
4186577,2383230
2911361,1646492
None,None
4081666,2328924
1421893,816678
3952414,2256037
4198990,2384991
3063986,1738477
None,None
4054708,2342624
1746264,1034387
4010274,2383578
4219681,2381874
3117451,1756811
None,None
4129426,2345210
1368701,796965
4180044,2388329
4178408,2384133
2994909,1728081
None,None
4010269,2330068
1388941,798904
4209435,2382493
4168040,2381225
3091838,1747567
None,None
3592028,2051998
1489130,849383
4121076,2385414
4194829,2386431
3037303,1710563
None,None
4082142,2336610
1737106,1001112
4216821,2393898
3988880,2382470
3148906,1752579
None,None
4116190,2349703
1371511,780866
4135933,2364331
4115104,2380969
3125032,1766426
None,None
3600150,2024900
1422121,808993
4205162,2369337
4197806,2384202
2893702,1662126
None,None
3952822,2331536
1354288,852292
4195105,2394383
4125834,2384168
3227294,1797712
None,None
3736610,2121739
1791213,1026933
4205330,2376248
4193641,2364017
3124490,1762129
None,None
4124401,2339415
1785873,1020825
4156253,2367654
4189293,2362820
3299683,1845724
None,None
3702900,2102229
1504124,859867
4197805,2371211
4227395,2364302
3104644,1765915
None,None
3976373,2334570
1807511,1021840
4172054,2370163
4191250,2385244
3152139,1778393
None,None
4109619,2329587
1440208,822656
4067505,2266365
4222613,2385253
3207837,1775896
None,None
4117138,2342848
1414332,775073
4198409,2386631
4137520,2384824
2871670,1620821
None,None
3877311,2221087
1386332,760201
4125970,2345977
4247828,2380571
2888788,1617811
None,None
4071672,2329621
1642436,928631
4264768,2386002
4220512,2390610
3267892,1813505
None,None
4095532,2329261
1741370,987010
4172945,2364148
4280642,2374696
3313787,1857670
None,None
4119884,2326885
1451839,819434
4032325,2246856
4252693,2390005
3103612,1762911
None,None
3966244,2342025
1370089,778174
4266565,2389167
4289397,2391376
2974922,1673064
None,None
4084348,2327958
1473971,820072
4164243,2365860
4214681,2361822
3334440,1861449
None,None
3858629,2182891
1770702,1032624
4259751,2386164
4251561,2384781
3082992,1737652
None,None
3660562,2065975
1739703,990335
4194967,2364255
4172732,2364474
3070081,1777193
None,None
3660175,2055308
1712223,977992
4178365,2363522
4171630,2360410
3184693,1788590
None,None
4102881,2327127
1502582,833631
4205529,2367283
4236149,2361567
3276754,1835922
None,None
4066206,2309046
1825057,1034304
4237824,2364641
4138615,2364528
3170415,1782407
None,None
3616197,2023677
1555965,904768
4219502,2367533
