category,bfs,freqmine,streamcluster,MG
runtime,39.22203183174133,101.58761477470398,114.50680589675903,121.17772698402405
l2miss,7232117.264021887,50560179.14405011,167049319.76899156,73270587.21750782
l3miss,3695899.972640219,8293213.88308977,133265594.28698358,60665566.27065654
instructions,5513283980.136799,25732883247.48434,9726439028.822744,4838822075.560518
cycles,2254592864.651163,14311676254.14405,15085577134.517992,2638909916.0786066
stall_cycles,361482132.366621,3600745773.5908146,9863315867.898712,686389078.7762394
intra_coh,215155.8686730506,12831100.709812108,11381963.81163927,272523.5640911121
inter_coh,0.1094391244870041,0.4488517745302714,6.015104398045313,0.5448861098704779
wall_cycles,2134331634.7195623,2211406869.008351,2119698517.5477564,2242957098.481465
llc_size,170293189.16552666,608472344.0501044,755727612.4744558,115517810.45109424
local_mem,362793310.2051984,481375601.8371607,8574610289.613505,5108228838.731577
remote_mem,6116095.649794801,5594503.215031316,30696235.557529986,66345614.006252795
