category,swaptions,MG,streamcluster,freqmine
runtime,61.65882658958435,71.8611855506897,120.3941559791565,172.12523531913757
l2miss,5867985.0,138045870.85089773,158665540.3128964,29236341.186131388
l3miss,18705.66889632107,97934843.88758782,127058733.67441861,10334686.989051096
instructions,25523762786.655518,8345513291.522247,9265852062.849895,14980718318.856447
cycles,15778517799.197323,5355959667.478532,15161954481.47146,8527217291.356448
stall_cycles,3701584979.6989965,1883953885.917252,10181065434.207188,2297501431.5815086
intra_coh,4474680.451505017,95609.94535519124,11020384.862579282,7012910.298053528
inter_coh,0.2842809364548495,17.096018735362996,1.1331923890063424,499.3917274939173
wall_cycles,2127990457.1906354,2302307185.2615147,2119280481.7420719,2185574140.754258
llc_size,45407242.27424749,211354367.4004684,731888867.3150105,326507208.5644769
local_mem,1386338.4615384615,2465733421.764247,8235012676.194504,435501469.5863747
remote_mem,183018.59531772573,6822468474.504293,32499759.627906978,286031553.09002435
