category,nn,freqmine,CG,SP
runtime,79.09627842903137,80.79011821746826,108.62736010551453,184.49160957336426
l2miss,102890355.40769732,74599345.78844906,681868959.9057049,553805484.2557944
l3miss,12594.664057403785,40566765.827384815,129451945.90287599,321555592.72270316
instructions,8972247953.007175,31983431546.826736,7113766725.648279,22497511933.945827
cycles,16303857519.373777,18972937189.99351,15499638999.085339,13623628866.422787
stall_cycles,10568464838.643185,5653146070.473719,11211033384.24328,4920828873.001955
intra_coh,75198210.71102414,16210861.466580143,312309.45780292316,34777.02876291539
inter_coh,1.5264187866927592,9.526281635301752,0.8958038661008958,2.217257749232058
wall_cycles,2127966891.2981083,2124146889.1758597,2122241004.3752947,2144380710.0307176
llc_size,669369228.4409654,114849181.98572356,336753074.5120227,630678860.5640882
local_mem,139437351.91128504,6415929320.077871,8384625166.242338,23601067357.721306
remote_mem,2014387.684279191,97195714.36729395,90756699.97171146,233348056.25244346
