category,swaptions,canneal,streamcluster,MG
runtime,56.371909618377686,76.31659698486328,129.29767537117004,379.5818610191345
l2miss,6476484.904284412,58332018.61626248,1.450215730551057e+17,444647562.11218464
l3miss,17519.580674567,37501494.06562054,114721764.9371069,318352671.814278
instructions,27756187093.29079,1829200379.229672,8582464044.3396225,28085391661.902843
cycles,16151098252.616226,8294194490.513553,15175210641.084904,15128735782.962963
stall_cycles,3484074806.1257977,6984495143.537803,10539550241.218554,3991720103.7976384
intra_coh,4871433.309024612,1084798.0456490726,10597627.240566038,292232.2114868492
inter_coh,0.3463992707383774,142.61055634807417,1.8553459119496853,0.45088566827697263
wall_cycles,2123230904.0109391,2260705388.2738943,2117912713.5062895,2126735080.4401503
llc_size,38297637.33819508,333654901.2268188,588959460.6289308,593914635.4052603
local_mem,394291.34001823154,2684084375.920114,6082581639.245283,28049889758.196457
remote_mem,63325.578851412945,124906380.59914409,19970447.295597486,577495457.7348362
