Percentage served,Time in ms
0,16
1,17
2,17
3,17
4,17
5,17
6,17
7,17
8,17
9,17
10,17
11,17
12,18
13,19
14,36
15,42
16,45
17,47
18,50
19,51
20,53
21,55
22,57
23,60
24,64
25,67
26,72
27,79
28,207
29,222
30,255
31,305
32,371
33,398
34,420
35,438
36,450
37,467
38,495
39,512
40,521
41,538
42,551
43,592
44,605
45,617
46,628
47,641
48,673
49,686
50,701
51,714
52,734
53,762
54,779
55,808
56,816
57,842
58,866
59,891
60,915
61,926
62,947
63,971
64,999
65,1019
66,1034
67,1045
68,1075
69,1126
70,1171
71,1200
72,1248
73,1265
74,1275
75,1290
76,1314
77,1354
78,1406
79,1423
80,1439
81,1450
82,1470
83,1482
84,1514
85,1585
86,1637
87,1696
88,1804
89,1816
90,1840
91,1884
92,1933
93,1978
94,2013
95,2048
96,2131
97,2262
98,2327
99,2483
99.5,2509
99.9,2875
99.99,2875
99.999,2875
100,2875
