starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 10 02:00:09 2019	1547053209	0	72	73	17
Thu Jan 10 02:00:07 2019	1547053207	0	123	123	13
Thu Jan 10 02:00:09 2019	1547053209	0	191	192	27
Thu Jan 10 02:00:09 2019	1547053209	0	206	207	147
Thu Jan 10 02:00:09 2019	1547053209	0	207	207	51
Thu Jan 10 02:00:09 2019	1547053209	0	209	210	2
Thu Jan 10 02:00:07 2019	1547053207	0	211	212	14
Thu Jan 10 02:00:09 2019	1547053209	0	215	215	46
Thu Jan 10 02:00:07 2019	1547053207	0	220	220	78
Thu Jan 10 02:00:07 2019	1547053207	0	221	222	49
Thu Jan 10 02:00:09 2019	1547053209	0	222	222	134
Thu Jan 10 02:00:09 2019	1547053209	0	231	232	50
Thu Jan 10 02:00:07 2019	1547053207	0	243	244	14
Thu Jan 10 02:00:05 2019	1547053205	2	245	248	3
Thu Jan 10 02:00:05 2019	1547053205	2	245	248	3
Thu Jan 10 02:00:05 2019	1547053205	2	247	249	3
Thu Jan 10 02:00:07 2019	1547053207	0	252	252	118
Thu Jan 10 02:00:07 2019	1547053207	0	255	255	117
Thu Jan 10 02:00:07 2019	1547053207	0	261	261	103
Thu Jan 10 02:00:09 2019	1547053209	0	272	272	212
Thu Jan 10 02:00:09 2019	1547053209	0	282	282	1
Thu Jan 10 02:00:05 2019	1547053205	3	285	287	3
Thu Jan 10 02:00:05 2019	1547053205	2	287	290	5
Thu Jan 10 02:00:07 2019	1547053207	0	290	291	94
Thu Jan 10 02:00:08 2019	1547053208	0	304	305	243
Thu Jan 10 02:00:07 2019	1547053207	0	305	305	168
Thu Jan 10 02:00:08 2019	1547053208	0	346	346	26
Thu Jan 10 02:00:06 2019	1547053206	0	367	367	211
Thu Jan 10 02:00:09 2019	1547053209	0	369	369	119
Thu Jan 10 02:00:05 2019	1547053205	2	368	371	3
Thu Jan 10 02:00:05 2019	1547053205	2	369	371	5
Thu Jan 10 02:00:07 2019	1547053207	0	373	373	39
Thu Jan 10 02:00:05 2019	1547053205	2	386	388	4
Thu Jan 10 02:00:10 2019	1547053210	0	390	390	177
Thu Jan 10 02:00:09 2019	1547053209	0	391	391	130
Thu Jan 10 02:00:10 2019	1547053210	0	393	394	167
Thu Jan 10 02:00:10 2019	1547053210	0	397	397	168
Thu Jan 10 02:00:08 2019	1547053208	0	398	398	7
Thu Jan 10 02:00:08 2019	1547053208	0	403	404	107
Thu Jan 10 02:00:05 2019	1547053205	3	403	405	3
Thu Jan 10 02:00:08 2019	1547053208	0	405	405	17
Thu Jan 10 02:00:07 2019	1547053207	0	407	407	138
Thu Jan 10 02:00:08 2019	1547053208	0	408	408	16
Thu Jan 10 02:00:09 2019	1547053209	0	415	415	259
Thu Jan 10 02:00:09 2019	1547053209	0	419	420	46
Thu Jan 10 02:00:09 2019	1547053209	0	420	421	315
Thu Jan 10 02:00:05 2019	1547053205	2	420	423	4
Thu Jan 10 02:00:05 2019	1547053205	2	420	423	3
Thu Jan 10 02:00:05 2019	1547053205	2	422	424	5
Thu Jan 10 02:00:08 2019	1547053208	0	432	432	17
Thu Jan 10 02:00:07 2019	1547053207	0	435	436	285
Thu Jan 10 02:00:10 2019	1547053210	0	437	438	165
Thu Jan 10 02:00:07 2019	1547053207	0	438	439	341
Thu Jan 10 02:00:08 2019	1547053208	0	443	444	27
Thu Jan 10 02:00:08 2019	1547053208	0	445	446	26
Thu Jan 10 02:00:08 2019	1547053208	0	445	446	108
Thu Jan 10 02:00:08 2019	1547053208	0	446	446	17
Thu Jan 10 02:00:05 2019	1547053205	2	447	449	228
Thu Jan 10 02:00:05 2019	1547053205	2	447	450	4
Thu Jan 10 02:00:05 2019	1547053205	2	449	451	108
Thu Jan 10 02:00:05 2019	1547053205	2	449	451	5
Thu Jan 10 02:00:08 2019	1547053208	0	456	457	108
Thu Jan 10 02:00:08 2019	1547053208	0	465	465	17
Thu Jan 10 02:00:08 2019	1547053208	0	465	466	76
Thu Jan 10 02:00:08 2019	1547053208	0	466	466	101
Thu Jan 10 02:00:08 2019	1547053208	0	466	467	237
Thu Jan 10 02:00:08 2019	1547053208	0	468	469	135
Thu Jan 10 02:00:08 2019	1547053208	0	476	476	14
Thu Jan 10 02:00:08 2019	1547053208	0	480	481	106
Thu Jan 10 02:00:08 2019	1547053208	0	481	481	246
Thu Jan 10 02:00:08 2019	1547053208	0	487	488	14
Thu Jan 10 02:00:08 2019	1547053208	0	490	490	109
Thu Jan 10 02:00:09 2019	1547053209	0	495	495	395
Thu Jan 10 02:00:08 2019	1547053208	0	500	500	16
Thu Jan 10 02:00:10 2019	1547053210	0	506	506	318
Thu Jan 10 02:00:08 2019	1547053208	0	508	509	317
Thu Jan 10 02:00:05 2019	1547053205	2	508	510	3
Thu Jan 10 02:00:05 2019	1547053205	2	508	510	6
Thu Jan 10 02:00:05 2019	1547053205	2	510	512	435
Thu Jan 10 02:00:05 2019	1547053205	2	510	512	367
Thu Jan 10 02:00:09 2019	1547053209	0	512	512	1
Thu Jan 10 02:00:05 2019	1547053205	2	511	513	283
Thu Jan 10 02:00:05 2019	1547053205	2	511	513	5
Thu Jan 10 02:00:07 2019	1547053207	0	521	521	121
Thu Jan 10 02:00:07 2019	1547053207	0	524	524	171
Thu Jan 10 02:00:08 2019	1547053208	0	527	527	331
Thu Jan 10 02:00:07 2019	1547053207	0	527	527	284
Thu Jan 10 02:00:05 2019	1547053205	2	529	531	5
Thu Jan 10 02:00:05 2019	1547053205	2	529	532	3
Thu Jan 10 02:00:05 2019	1547053205	2	532	534	5
Thu Jan 10 02:00:07 2019	1547053207	0	538	538	112
Thu Jan 10 02:00:09 2019	1547053209	0	538	539	74
Thu Jan 10 02:00:09 2019	1547053209	0	539	539	260
Thu Jan 10 02:00:08 2019	1547053208	0	542	543	331
Thu Jan 10 02:00:08 2019	1547053208	1	544	545	16
Thu Jan 10 02:00:06 2019	1547053206	0	547	547	66
Thu Jan 10 02:00:09 2019	1547053209	0	548	548	427
Thu Jan 10 02:00:06 2019	1547053206	0	550	551	87
Thu Jan 10 02:00:05 2019	1547053205	2	555	557	467
Thu Jan 10 02:00:07 2019	1547053207	1	570	570	283
Thu Jan 10 02:00:06 2019	1547053206	0	571	572	104
Thu Jan 10 02:00:06 2019	1547053206	0	575	575	69
Thu Jan 10 02:00:08 2019	1547053208	0	585	585	244
Thu Jan 10 02:00:07 2019	1547053207	0	590	591	33
Thu Jan 10 02:00:07 2019	1547053207	1	591	592	283
Thu Jan 10 02:00:07 2019	1547053207	0	592	593	273
Thu Jan 10 02:00:07 2019	1547053207	0	593	593	285
Thu Jan 10 02:00:09 2019	1547053209	0	593	594	465
Thu Jan 10 02:00:08 2019	1547053208	0	596	596	344
Thu Jan 10 02:00:07 2019	1547053207	0	600	601	33
Thu Jan 10 02:00:07 2019	1547053207	0	603	604	244
Thu Jan 10 02:00:05 2019	1547053205	2	603	605	5
Thu Jan 10 02:00:05 2019	1547053205	2	605	608	248
Thu Jan 10 02:00:05 2019	1547053205	2	606	609	5
Thu Jan 10 02:00:07 2019	1547053207	0	611	611	134
Thu Jan 10 02:00:07 2019	1547053207	0	612	612	219
Thu Jan 10 02:00:07 2019	1547053207	0	613	614	284
Thu Jan 10 02:00:07 2019	1547053207	0	616	616	251
Thu Jan 10 02:00:07 2019	1547053207	0	616	617	323
Thu Jan 10 02:00:07 2019	1547053207	0	617	617	273
Thu Jan 10 02:00:07 2019	1547053207	1	617	618	243
Thu Jan 10 02:00:07 2019	1547053207	1	619	620	327
Thu Jan 10 02:00:06 2019	1547053206	0	622	622	356
Thu Jan 10 02:00:05 2019	1547053205	2	624	626	419
Thu Jan 10 02:00:07 2019	1547053207	0	626	627	257
Thu Jan 10 02:00:07 2019	1547053207	0	627	628	243
Thu Jan 10 02:00:09 2019	1547053209	0	628	628	485
Thu Jan 10 02:00:08 2019	1547053208	1	628	628	545
Thu Jan 10 02:00:07 2019	1547053207	0	628	629	241
Thu Jan 10 02:00:10 2019	1547053210	0	633	633	471
Thu Jan 10 02:00:07 2019	1547053207	0	636	636	289
Thu Jan 10 02:00:08 2019	1547053208	0	640	641	306
Thu Jan 10 02:00:09 2019	1547053209	0	642	642	503
Thu Jan 10 02:00:10 2019	1547053210	0	644	644	414
Thu Jan 10 02:00:10 2019	1547053210	0	645	645	470
Thu Jan 10 02:00:07 2019	1547053207	0	647	647	340
Thu Jan 10 02:00:07 2019	1547053207	0	661	661	292
Thu Jan 10 02:00:08 2019	1547053208	0	667	667	402
Thu Jan 10 02:00:09 2019	1547053209	0	672	673	517
Thu Jan 10 02:00:10 2019	1547053210	0	673	673	489
Thu Jan 10 02:00:07 2019	1547053207	0	676	676	302
Thu Jan 10 02:00:07 2019	1547053207	0	676	676	302
Thu Jan 10 02:00:06 2019	1547053206	0	676	677	57
Thu Jan 10 02:00:08 2019	1547053208	0	683	683	528
Thu Jan 10 02:00:09 2019	1547053209	0	686	686	140
Thu Jan 10 02:00:07 2019	1547053207	0	686	686	303
Thu Jan 10 02:00:08 2019	1547053208	0	690	690	15
Thu Jan 10 02:00:08 2019	1547053208	0	690	691	241
Thu Jan 10 02:00:08 2019	1547053208	0	690	691	17
Thu Jan 10 02:00:08 2019	1547053208	0	700	700	110
