category,swaptions,canneal,CG,SP
runtime,61.6676664352417,78.46822094917297,114.91849708557129,162.64060497283936
l2miss,5935359.317803661,60571067.266028,645683191.2177778,637207056.2440419
l3miss,15912.811980033277,41878758.290346354,121984244.41777778,355997984.1118526
instructions,25405075067.2213,1887254341.341194,6679945659.457778,25531410812.367332
cycles,16126808401.014975,9222136562.37288,15983670351.537779,15832829649.176994
stall_cycles,3907829877.0715475,7860295058.025055,11961986073.066666,5942784977.286304
intra_coh,4685536.821963394,1710329.8747236552,283999.12888888887,47368.166507785194
inter_coh,0.11647254575707155,0.4863669859985262,0.7911111111111111,1.7286304416904987
wall_cycles,2121140475.0083196,2401659078.4082537,2118052700.0266666,2147885214.242135
llc_size,15090727.188019967,259037680.5305822,203036935.96444443,702862875.1700032
local_mem,365300.4991680532,3073817090.64112,7866962994.0622225,26099916292.392754
remote_mem,88326.38935108153,10554338.57037583,23554512.21333333,153633293.82904354
