category,nn,freqmine,streamcluster,MG
runtime,76.68612217903137,93.4890193939209,116.59380769729614,121.0514588356018
l2miss,112884976.25841184,66745666.22895622,163961293.03360978,80107523.22911805
l3miss,9966.527590847913,40491151.8630752,130962712.18681799,64863989.65935604
instructions,9091070214.172276,27646563912.749718,9552620543.762548,4991954957.190854
cycles,16242696166.621803,17406959379.135803,15064735463.745089,3133467834.624358
stall_cycles,10477131338.236877,5812414661.2457905,9933937454.028809,1057933763.2757816
intra_coh,82798552.9475101,13678969.92143659,11382343.317328677,383072.98180121323
inter_coh,1.9246298788694483,739.5510662177328,3.43954604975993,52.16052263182455
wall_cycles,2121750865.0201883,2182820533.15376,2117866400.2793539,2339087883.2104526
llc_size,699010680.5921937,220249505.1851852,733963151.8114362,96162076.78954737
local_mem,143988678.11574697,3688053478.4287314,8452456827.027498,4098176786.0382643
remote_mem,1173120.861372813,63131542.2671156,33482574.10737669,1389379102.3425105
