Percentage served,Time in ms
0,16
1,16
2,16
3,16
4,16
5,16
6,17
7,17
8,17
9,17
10,17
11,17
12,18
13,24
14,37
15,44
16,48
17,50
18,53
19,54
20,57
21,59
22,62
23,64
24,68
25,70
26,76
27,81
28,189
29,327
30,417
31,463
32,502
33,537
34,556
35,571
36,580
37,592
38,613
39,633
40,649
41,664
42,691
43,714
44,734
45,752
46,772
47,789
48,802
49,815
50,821
51,841
52,850
53,859
54,873
55,895
56,912
57,936
58,947
59,962
60,972
61,988
62,1003
63,1006
64,1017
65,1034
66,1053
67,1063
68,1078
69,1095
70,1110
71,1115
72,1121
73,1135
74,1146
75,1155
76,1159
77,1168
78,1179
79,1196
80,1208
81,1222
82,1243
83,1273
84,1295
85,1318
86,1358
87,1381
88,1389
89,1401
90,1408
91,1419
92,1426
93,1452
94,1470
95,1521
96,1553
97,1664
98,1698
99,1955
99.5,1972
99.9,2256
99.99,2256
99.999,2256
100,2256
