starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 09 22:50:04 2019	1547041804	0	159	159	27
Wed Jan 09 22:50:02 2019	1547041802	0	189	189	91
Wed Jan 09 22:50:02 2019	1547041802	0	194	194	50
Wed Jan 09 22:50:04 2019	1547041804	0	236	236	50
Wed Jan 09 22:50:03 2019	1547041803	1	258	258	140
Wed Jan 09 22:50:04 2019	1547041804	0	266	266	140
Wed Jan 09 22:50:01 2019	1547041801	2	298	299	56
Wed Jan 09 22:50:04 2019	1547041804	0	318	319	235
Wed Jan 09 22:50:02 2019	1547041802	1	326	327	73
Wed Jan 09 22:50:02 2019	1547041802	0	329	329	75
Wed Jan 09 22:50:04 2019	1547041804	0	330	330	232
Wed Jan 09 22:50:02 2019	1547041802	0	345	346	301
Wed Jan 09 22:50:03 2019	1547041803	0	356	356	215
Wed Jan 09 22:50:05 2019	1547041805	0	388	388	69
Wed Jan 09 22:50:04 2019	1547041804	0	405	405	266
Wed Jan 09 22:50:05 2019	1547041805	0	416	417	71
Wed Jan 09 22:50:01 2019	1547041801	2	418	420	1
Wed Jan 09 22:50:03 2019	1547041803	0	436	436	82
Wed Jan 09 22:50:04 2019	1547041804	0	440	440	281
Wed Jan 09 22:50:04 2019	1547041804	0	446	446	97
Wed Jan 09 22:50:04 2019	1547041804	0	455	456	298
Wed Jan 09 22:50:03 2019	1547041803	0	462	462	229
Wed Jan 09 22:50:01 2019	1547041801	2	461	463	128
Wed Jan 09 22:50:01 2019	1547041801	2	470	472	55
Wed Jan 09 22:50:03 2019	1547041803	0	479	479	69
Wed Jan 09 22:50:03 2019	1547041803	0	489	490	289
Wed Jan 09 22:50:03 2019	1547041803	0	499	499	90
Wed Jan 09 22:50:04 2019	1547041804	0	501	502	331
Wed Jan 09 22:50:04 2019	1547041804	0	502	502	267
Wed Jan 09 22:50:03 2019	1547041803	0	502	502	70
Wed Jan 09 22:50:04 2019	1547041804	0	502	503	333
Wed Jan 09 22:50:03 2019	1547041803	0	509	509	281
Wed Jan 09 22:50:03 2019	1547041803	0	527	527	304
Wed Jan 09 22:50:04 2019	1547041804	0	534	534	409
Wed Jan 09 22:50:04 2019	1547041804	0	536	536	167
Wed Jan 09 22:50:04 2019	1547041804	0	536	536	366
Wed Jan 09 22:50:05 2019	1547041805	0	537	537	124
Wed Jan 09 22:50:04 2019	1547041804	0	539	539	320
Wed Jan 09 22:50:02 2019	1547041802	0	541	542	130
Wed Jan 09 22:50:02 2019	1547041802	0	542	542	46
Wed Jan 09 22:50:04 2019	1547041804	0	544	544	279
Wed Jan 09 22:50:03 2019	1547041803	0	545	545	283
Wed Jan 09 22:50:04 2019	1547041804	0	547	547	283
Wed Jan 09 22:50:04 2019	1547041804	0	556	556	428
Wed Jan 09 22:50:01 2019	1547041801	2	555	557	103
Wed Jan 09 22:50:01 2019	1547041801	1	556	558	100
Wed Jan 09 22:50:01 2019	1547041801	2	557	558	105
Wed Jan 09 22:50:01 2019	1547041801	2	557	559	105
Wed Jan 09 22:50:04 2019	1547041804	0	564	564	301
Wed Jan 09 22:50:03 2019	1547041803	0	567	567	138
Wed Jan 09 22:50:05 2019	1547041805	0	570	571	67
Wed Jan 09 22:50:02 2019	1547041802	0	571	571	60
Wed Jan 09 22:50:04 2019	1547041804	0	572	573	471
Wed Jan 09 22:50:05 2019	1547041805	0	574	574	133
Wed Jan 09 22:50:02 2019	1547041802	0	573	574	86
Wed Jan 09 22:50:02 2019	1547041802	0	575	576	127
Wed Jan 09 22:50:01 2019	1547041801	0	577	578	332
Wed Jan 09 22:50:05 2019	1547041805	0	580	580	333
Wed Jan 09 22:50:05 2019	1547041805	0	583	584	72
Wed Jan 09 22:50:01 2019	1547041801	0	584	585	224
Wed Jan 09 22:50:04 2019	1547041804	1	584	585	230
Wed Jan 09 22:50:04 2019	1547041804	0	585	586	368
Wed Jan 09 22:50:01 2019	1547041801	1	585	586	100
Wed Jan 09 22:50:04 2019	1547041804	0	591	591	517
Wed Jan 09 22:50:04 2019	1547041804	0	591	592	367
Wed Jan 09 22:50:02 2019	1547041802	0	594	594	85
Wed Jan 09 22:50:04 2019	1547041804	0	594	594	367
Wed Jan 09 22:50:01 2019	1547041801	2	597	599	101
Wed Jan 09 22:50:01 2019	1547041801	2	599	600	419
Wed Jan 09 22:50:03 2019	1547041803	0	602	602	367
Wed Jan 09 22:50:04 2019	1547041804	0	612	612	531
Wed Jan 09 22:50:05 2019	1547041805	0	613	613	99
Wed Jan 09 22:50:01 2019	1547041801	2	613	615	102
Wed Jan 09 22:50:01 2019	1547041801	2	614	616	104
Wed Jan 09 22:50:04 2019	1547041804	0	618	619	282
Wed Jan 09 22:50:04 2019	1547041804	0	625	625	492
Wed Jan 09 22:50:02 2019	1547041802	0	626	627	132
Wed Jan 09 22:50:04 2019	1547041804	0	628	629	257
Wed Jan 09 22:50:05 2019	1547041805	0	633	633	390
Wed Jan 09 22:50:02 2019	1547041802	0	634	634	87
Wed Jan 09 22:50:04 2019	1547041804	1	636	637	299
Wed Jan 09 22:50:01 2019	1547041801	1	638	639	131
Wed Jan 09 22:50:01 2019	1547041801	1	638	640	129
Wed Jan 09 22:50:04 2019	1547041804	0	641	641	99
Wed Jan 09 22:50:01 2019	1547041801	1	646	647	128
Wed Jan 09 22:50:01 2019	1547041801	1	647	649	131
Wed Jan 09 22:50:01 2019	1547041801	1	650	651	129
Wed Jan 09 22:50:01 2019	1547041801	2	651	653	129
Wed Jan 09 22:50:01 2019	1547041801	2	651	653	127
Wed Jan 09 22:50:02 2019	1547041802	0	655	655	205
Wed Jan 09 22:50:02 2019	1547041802	0	656	656	117
Wed Jan 09 22:50:05 2019	1547041805	0	657	658	236
Wed Jan 09 22:50:01 2019	1547041801	1	663	664	130
Wed Jan 09 22:50:02 2019	1547041802	0	665	665	123
Wed Jan 09 22:50:04 2019	1547041804	0	673	673	268
Wed Jan 09 22:50:02 2019	1547041802	0	674	674	69
Wed Jan 09 22:50:05 2019	1547041805	0	675	675	363
Wed Jan 09 22:50:03 2019	1547041803	0	679	679	400
Wed Jan 09 22:50:02 2019	1547041802	0	691	691	83
Wed Jan 09 22:50:05 2019	1547041805	0	692	692	132
Wed Jan 09 22:50:02 2019	1547041802	0	698	698	204
Wed Jan 09 22:50:03 2019	1547041803	0	703	703	303
Wed Jan 09 22:50:02 2019	1547041802	0	704	704	204
Wed Jan 09 22:50:02 2019	1547041802	0	704	704	122
