category,bfs,freqmine,streamcluster,MG
runtime,39.03937125205994,102.0108368396759,113.41827964782715,393.1084825992584
l2miss,7667670.326975477,49388390.73727934,167966375.1075269,436225807.56026495
l3miss,3409131.607629428,8295418.992731049,133792236.95340501,310625592.01059604
instructions,5496442995.967302,25591956069.034267,9779123599.964157,27714662754.48212
cycles,2391721494.5776567,14231043584.060228,15163935222.526882,14425697214.69404
stall_cycles,490742745.5313352,3560124048.6396675,9910042019.417562,3470535031.027815
intra_coh,626347.9836512262,12584007.95430945,11659069.97311828,1446244.7655629138
inter_coh,0.08174386920980925,0.24922118380062305,7.240143369175627,0.22781456953642387
wall_cycles,2130726406.9754767,2209213726.23053,2117667898.8351254,2174921950.8132453
llc_size,191229405.1226158,598072825.0882659,762052725.4480288,633497190.4
local_mem,336881825.8310627,457680830.07268953,8725207590.537634,28019621497.38808
remote_mem,4680377.5476839235,5304809.138110073,23319893.333333336,39187229.49933775
