category,bfs,freqmine,streamcluster,MG
runtime,38.309754848480225,101.13419604301453,113.50753402709961,120.57648539543152
l2miss,7134809.46354883,51967613.518324606,168397564.44742727,77713095.95893608
l3miss,4125116.6162310867,8376629.560209424,134271576.42058167,64009764.88100793
instructions,5550202594.635488,25813359629.895287,9802195290.595078,5061790178.590761
cycles,2271331164.7317743,14395614398.722513,15066531489.637585,2784021722.715819
stall_cycles,361742550.15130675,3651396265.099477,9807252055.588367,732635707.2235185
intra_coh,237092.37964236588,13296676.073298428,1.650715353468427e+17,319445.47830144654
inter_coh,0.055020632737276476,0.2198952879581152,6.988814317673379,0.643957069528698
wall_cycles,2127703766.2448418,2208757524.052356,2116710754.362416,2333257347.438171
llc_size,174435737.88170564,615337061.8638743,765851643.4183445,113465660.3266449
local_mem,379387633.56258595,488000270.7434555,8774939641.127518,5436774815.716286
remote_mem,3414723.0811554333,4780353.67539267,24471464.948545862,162212456.40690622
