category,bodytrack,freqmine,CG,SP
runtime,30.574124097824097,85.54920768737793,145.5440285205841,159.25487065315247
l2miss,881840549.7630332,507537495.2820719,3571772162.417845,3624550268.628159
l3miss,43570703.791469194,84961637.62296727,675627391.8542123,2128297085.2707582
instructions,392480991684.2417,242182657218.32965,36458273109.1914,143315604344.62094
cycles,174680689635.6635,132719729825.73781,98779779399.22327,92838196291.91336
stall_cycles,17937098132.109005,32179554071.07007,76406745198.26729,37195641572.888084
intra_coh,96952558.05687203,131289019.97590844,1594562.9356701851,386296.75090252707
inter_coh,517.1800947867299,9.937763501304959,22.35610436168094,14.259927797833935
wall_cycles,29074446495.260662,16546403148.96607,12860539181.736706,11373657827.65343
llc_size,8727353023.696684,29189321264.003212,8913287571.40012,34084542530.541515
local_mem,3542088796.2085304,4151773359.5663524,38265192571.99761,161374620853.1408
remote_mem,646430331.7535545,562404400.7227464,2301121542.3222466,6728306673.2129965
