category,nn,streamcluster,freqmine,MG
runtime,76.74550580978394,114.2739782333374,136.02711296081543,392.4927017688751
l2miss,104175547.1332436,166776215.26948774,38574316.82926829,432809072.085084
l3miss,10778.196500672948,133365381.29175946,9271491.966955153,310098888.3167017
instructions,9142370514.791386,9742286975.037863,19386571902.612118,27466572943.400734
cycles,16252678525.558546,14980318831.910913,10881185570.212431,14395697434.159662
stall_cycles,10447757205.733513,9754454316.4098,2816167281.014949,3538303900.498949
intra_coh,76057741.65545088,11529554.040089086,9892180.039339103,1105472.5288865548
inter_coh,0.2826379542395693,6.841870824053452,1401.7781274586941,9.873949579831933
wall_cycles,2123863129.192463,2117696212.7037861,2231841295.9087334,2151737948.597689
llc_size,520029483.0686407,743630131.884187,376311218.2533438,625848492.1008403
local_mem,143859899.4347241,8679214182.628061,480373208.1195909,27588361207.39496
remote_mem,1333653.1897711977,37090164.881959915,68599331.04642014,257396770.42016807
