category,bodytrack,canneal,streamcluster,MG
runtime,28.41732096672058,69.01119828224182,117.34239983558655,387.4888527393341
l2miss,61411084.00735295,62865326.04987933,163448480.61108685,442557524.21336937
l3miss,2055501.6544117648,35337948.28640386,130266181.30074203,317495131.12761647
instructions,28467890988.272057,2060937886.7095735,9512069222.776081,28250320228.79406
cycles,12627694261.580883,8245785508.028963,15199919776.979485,14394277244.078327
stall_cycles,1261396289.2279413,6792661595.639582,10083846234.465298,3259831294.2687373
intra_coh,7164533.823529412,175266.82220434432,11326569.611523353,239007.07629979745
inter_coh,0.6617647058823529,251.89058728881736,10.152771715408118,13.353139770425388
wall_cycles,2145956499.7426472,2278361047.047466,2119143589.6289828,2180755561.985145
llc_size,553114202.3529412,530654956.84633946,755898688.9218682,628693706.9331533
local_mem,110425750.58823529,2701033287.4658084,8483563399.319075,28231019274.544224
remote_mem,3799642.3529411764,97924386.80611424,25360801.466608465,432155977.8095881
