category,bodytrack,canneal,SP,streamcluster
runtime,28.690006256103516,59.4307324886322,154.21679496765137,168.75442385673523
l2miss,569429641.2185032,1073171649.8591548,3671312649.1143017,601631031.6239867
l3miss,22419575.404287327,607671792.112676,2060898338.9893718,498095562.7654099
instructions,256810028757.80368,34222041901.971832,146260990452.43335,35082363134.12045
cycles,114252025224.89658,123522436638.59154,91713812023.08409,75660292443.15404
stall_cycles,11987520607.371193,99350826654.3662,35230413557.859406,56473390311.34989
intra_coh,63413324.93418578,3288565.633802817,266772.0305798993,43047707.53442285
inter_coh,2.6325686348251223,7.887323943661971,77.64311019951519,12.932698494402265
wall_cycles,17083139713.050018,14178042441.12676,11103247542.644043,10394625064.24527
llc_size,10819971417.82625,38437103990.985916,36011329348.49898,11620746788.830267
local_mem,1340394819.1049266,36717697802.8169,149139790064.96365,31107835486.809937
remote_mem,252802840.16547573,820104581.4084507,5274688727.950774,1692285249.2600696
