category,MG,nn,freqmine,streamcluster
runtime,17.90543031692505,78.6561188697815,85.32601141929626,123.22196912765503
l2miss,9441953789.168278,1137348576.0116072,489954644.58648074,849907347.7248871
l3miss,7092875885.880077,180324.1979687248,76815253.53476661,679001064.9901875
instructions,630547761934.236,100979378839.1101,233302486433.08154,49646575521.06248
cycles,298491823375.24176,182428881757.69788,128612675941.02266,77340407626.80846
stall_cycles,61919332342.359764,118142923349.66951,31534037494.38311,50728538735.110214
intra_coh,7914928.433268858,842306657.1014025,130669127.15475498,57769714.34439323
inter_coh,1056.092843326886,41.91520232145736,23.726515591710246,34.685774268632194
wall_cycles,53037298371.373314,15348914067.225536,14300376144.102266,10833550713.705444
llc_size,33095806762.088974,11063761529.58246,32085856935.889984,38728605530.37287
local_mem,812780514290.1354,1061888165.0814123,2582046047.646717,40522208991.64803
remote_mem,96139537330.75435,72794299.53248428,331443591.71024597,2677114643.0559993
