category,canneal
runtime,3.4582247734069824
l2miss,17924970.35714286
l3miss,4274896.071428572
instructions,1113428045.357143
cycles,1649710108.2142856
stall_cycles,974965905.0
intra_coh,0.0
inter_coh,0.0
wall_cycles,2166830831.428571
llc_size,35354331.428571425
local_mem,226614125.7142857
remote_mem,2878902.8571428573
