category,bfs,freqmine,streamcluster,SP
runtime,39.05263352394104,102.27083468437195,115.29964661598206,234.2482476234436
l2miss,7664617.738419618,49132188.74611399,165308910.45394447,451758247.4532502
l3miss,3361384.332425068,8191917.668393783,1.6259800871656195e+17,239168959.4835263
instructions,5505811119.86376,25541684033.04663,9645891905.403261,17853528665.34283
cycles,2379003313.5422344,14225749937.471502,15134504391.908329,11603547959.28317
stall_cycles,477462687.8474114,3574006154.5388603,9951864376.289114,4644562642.217275
intra_coh,531678.7465940054,12548572.497409325,11309448.990744822,20901.00623330365
inter_coh,0.1362397820163488,0.43523316062176165,4.028206258263553,0.25378450578806766
wall_cycles,2127506193.8692098,2209506382.4041452,2116585705.7558396,2172771044.6482635
llc_size,176631127.1934605,607395118.4248705,748866499.0744822,472191840.4274266
local_mem,356522982.8882834,477697676.60103625,9293918664.715733,18090172860.97952
remote_mem,6201812.7520435965,5609609.948186529,31486163.20846188,110668303.04541408
