category,swaptions,freqmine,CG,SP
runtime,61.70384097099304,87.74510264396667,114.88893008232117,169.48147916793823
l2miss,4715158.667776853,78393250.69512194,645306824.481992,607274338.5088253
l3miss,15026.927560366363,40904262.42682927,122256437.91018231,344891992.0815581
instructions,25461671891.623646,30077447361.365852,6744671729.3730545,24474519771.357273
cycles,16229256474.188177,19901222724.378048,15522419998.114717,14839247325.696896
stall_cycles,3943419974.6544547,7178936635.865854,11452305406.660738,5377380658.052343
intra_coh,3642556.4696086594,15980699.841463415,289484.90884837706,45376.22032866707
inter_coh,0.41631973355537055,1.9878048780487805,0.9782125389061804,0.7790626902008522
wall_cycles,2125986065.711907,2227256307.2926826,2115977427.9502,2143909412.7997565
llc_size,35340328.92589509,305085265.17073166,218397772.9479769,687804109.3609251
local_mem,402710.8076602831,2475858968.97561,7848970180.809249,25761129011.418137
remote_mem,54567.86011656953,20051618.341463417,28077615.580257893,171180989.3122337
