category,canneal,nn,streamcluster,SP
runtime,71.35806202888489,77.10022401809692,116.77267336845398,233.99463415145874
l2miss,64841591.19822486,104192365.24414717,163747101.08155254,453837255.1751841
l3miss,48030429.27514793,16753.484949832775,130474900.14827736,239457358.0049096
instructions,1891977200.8431954,9083804070.595318,9543613303.044048,17914740307.891094
cycles,10105906329.08284,16254209326.301003,1.6089616931319414e+17,11500685964.24905
stall_cycles,8653746309.245564,10480524193.926422,9927862445.102486,4513914445.012274
intra_coh,2458192.1153846155,75746404.88294315,11261437.880505886,21236.39366212899
inter_coh,1.153846153846154,0.06688963210702341,1.9450501526384647,0.8881945994197724
wall_cycles,2187966159.0532546,2122224337.471572,2119101029.0274749,2178430213.2068734
llc_size,88564729.9408284,666202591.464883,744490674.8539032,467399358.9288105
local_mem,3811565034.7928996,143680337.33779263,8200490813.292629,18998839014.005802
remote_mem,13518254.20118343,973176.7224080267,23965654.91495857,113264226.37804061
