category,streamcluster
runtime,1.6857714653015137
l2miss,51657619.047619045
l3miss,142236.19047619047
instructions,3463253809.5238094
cycles,1994162799.047619
stall_cycles,281439229.5238095
intra_coh,0.0
inter_coh,0.0
wall_cycles,2275525022.857143
llc_size,6241.523809523809
local_mem,0.0
remote_mem,374491.4285714285
