     0.001136212,2421859,,instructions:u,938734,100.00,2.10,insn per cycle
     0.001136212,1153961,,cycles:u,942602,100.00,,
     0.002302369,6621088,,instructions:u,1053669,100.00,3.84,insn per cycle
     0.002302369,2299016,,cycles:u,1055561,100.00,,
     0.003440476,6759830,,instructions:u,1081817,100.00,3.54,insn per cycle
     0.003440476,2282784,,cycles:u,1083044,100.00,,
     0.004580025,5025897,,instructions:u,1096243,100.00,2.60,insn per cycle
     0.004580025,1990456,,cycles:u,1097172,100.00,,
     0.005720093,6356242,,instructions:u,1104990,100.00,3.18,insn per cycle
     0.005720093,2270024,,cycles:u,1105749,100.00,,
     0.006961147,6491496,,instructions:u,1127690,100.00,3.14,insn per cycle
     0.006961147,2392578,,cycles:u,1128310,100.00,,
     0.008074280,781903,,instructions:u,1129900,100.00,0.41,insn per cycle
     0.008074280,859575,,cycles:u,1130391,100.00,,
     0.009209158,5025528,,instructions:u,1116819,100.00,2.66,insn per cycle
     0.009209158,1869366,,cycles:u,1116819,100.00,,
     0.010358192,<not counted>,,instructions:u,992728,100.00,,
     0.010358192,<not counted>,,cycles:u,992728,100.00,,
     0.011505192,8755,,instructions:u,927778,100.00,0.01,insn per cycle
     0.011505192,75256,,cycles:u,928339,100.00,,
     0.012657119,852523,,instructions:u,948741,100.00,0.58,insn per cycle
     0.012657119,888245,,cycles:u,949033,100.00,,
     0.013768788,905342,,instructions:u,962249,100.00,0.64,insn per cycle
     0.013768788,856097,,cycles:u,962523,100.00,,
     0.014875293,977351,,instructions:u,975321,100.00,0.71,insn per cycle
     0.014875293,881693,,cycles:u,975569,100.00,,
     0.015982895,954996,,instructions:u,984809,100.00,0.72,insn per cycle
     0.015982895,845809,,cycles:u,985038,100.00,,
     0.017089447,971524,,instructions:u,992942,100.00,0.75,insn per cycle
     0.017089447,853644,,cycles:u,993164,100.00,,
     0.018196430,992248,,instructions:u,999949,100.00,0.78,insn per cycle
     0.018196430,844211,,cycles:u,1000146,100.00,,
     0.019303208,1400469,,instructions:u,1006333,100.00,1.12,insn per cycle
     0.019303208,982213,,cycles:u,1006525,100.00,,
     0.020407969,784677,,instructions:u,998622,100.00,0.64,insn per cycle
     0.020407969,641823,,cycles:u,998622,100.00,,
     0.021532595,111073,,instructions:u,965084,100.00,0.10,insn per cycle
     0.021532595,190726,,cycles:u,965238,100.00,,
     0.022631882,911666,,instructions:u,972170,100.00,0.79,insn per cycle
     0.022631882,868567,,cycles:u,972341,100.00,,
     0.023764678,926786,,instructions:u,979932,100.00,0.81,insn per cycle
     0.023764678,835304,,cycles:u,980091,100.00,,
