instructions:u,cycles:u
329017,531188
4563538,9681892
9861182,20762647
138720848,61651702
137989337,60182851
13451278,5827337
12945057,5646860
12965280,5647334
12914240,5637991
12945126,5646996
13171370,5738070
12974620,5648892
13150618,5740623
13219002,5754844
13236928,5766995
13078655,5692578
13222549,5767332
13175787,5734414
13033731,5688192
13271087,5782779
13200490,5739572
13327324,5820558
13195936,5756426
13322673,5803920
13284319,5780866
13262475,5786582
13120205,5723883
13475175,5879413
13320779,5807975
13229584,5774377
13349617,5809667
13379472,5822109
13498435,5888450
13111606,5746347
13435540,5846015
13365657,5817398
13213914,5783912
13171901,5731143
13361733,5818990
13342737,5804584
13166278,5750545
13307592,5782289
13280115,5790514
13330861,5815911
13279339,5785979
13317586,5804480
13278394,5781307
13239244,5770716
13325219,5812412
13301827,5795504
13290950,5794058
13214854,5759154
13308929,5794748
13334241,5819598
13268602,5797205
12501121,11307836
11025285,16811381
5365378,6688476
8573756,4902422
13412979,5843653
13190009,5741927
13223844,5752182
13129491,5732805
13527947,5907180
13163007,5736948
13134469,5733796
13267768,5777853
13201330,5760264
13130406,5721092
13119962,5725501
13369726,5815378
13185083,5757737
13133832,5720465
13128073,5719175
13234722,5764965
13127648,5723452
13117100,5726678
13263154,5773993
13162376,5726103
13105003,5724538
13175734,5743696
13220741,5755635
12997741,5662279
12992265,5667875
13199017,5744372
13139137,5723223
13102720,5709623
13010431,5679048
13237024,5754156
13106122,5713061
12456220,5446051
13065301,5680395
13019844,5666333
12875779,5623731
13092734,5714920
13086958,5689801
12976255,5665517
13040108,5686483
13002750,5673532
13140590,5724669
12838258,5597786
12849770,5603505
13074032,5709140
13079653,5706087
12970715,5656103
12868485,5617807
13028121,5673510
13016223,5676348
12808073,5587298
12938489,5650898
12984899,5649311
12906560,5627382
12748012,5565800
12952891,5642401
12922022,5629492
12917053,5636859
12883579,5621300
13028064,5664023
12770257,5572638
12765969,5558443
12868426,5607527
12833305,5594686
12828900,5593058
12830334,5590227
12896071,5614171
12767468,5580831
12840182,5588245
12703055,5526775
12781561,5581404
12666863,5532066
12403363,8272832
11631123,16992343
6752988,8772354
3512684,4244434
2582829,2443859
36787460,19569187
33037613,23010859
33997017,22820683
34416774,23351819
33141019,23069806
35469629,23132077
33419800,22928746
33968681,23122482
35571053,23181032
35270340,22900896
35269645,23099608
35559343,23117661
35435422,23051460
35159646,22795444
