category,streamcluster
runtime,2.5968916416168213
l2miss,30091697.36842105
l3miss,94011.05263157895
instructions,2018068206.8421054
cycles,1166920736.3157895
stall_cycles,166503044.7368421
intra_coh,0.0
inter_coh,0.0
wall_cycles,2198992114.736842
llc_size,6898.526315789473
local_mem,34492.63157894737
remote_mem,103477.8947368421
