category,streamcluster
runtime,2.445549488067627
l2miss,44965647.27272727
l3miss,142198.18181818182
instructions,3021067054.5454545
cycles,1697581009.090909
stall_cycles,210361487.27272725
intra_coh,0.0
inter_coh,0.0
wall_cycles,2105076794.5454547
llc_size,8936.727272727272
local_mem,59578.18181818182
remote_mem,119156.36363636365
