category,nn,freqmine,streamcluster,MG
runtime,77.30075311660767,84.15835452079773,114.37842345237732,123.6475441455841
l2miss,102365379.63951936,75434933.85572138,167512047.04626334,80767045.86206897
l3miss,10864.285714285714,47103330.98258707,133192098.1494662,63678367.66787659
instructions,9238474916.835781,30635207090.895523,9727449224.457294,4787417742.150635
cycles,16278849914.606142,19161578466.243782,14959991489.759787,2949783867.277677
stall_cycles,10366338400.787718,6355341070.982588,9738030794.483986,974731917.5136116
intra_coh,75823732.56341788,14857012.164179105,11483265.40925267,179102.97640653356
inter_coh,0.09345794392523364,0.9079601990049752,2.775800711743772,1.7422867513611615
wall_cycles,2121491799.1188252,2175661408.7313433,2117103292.5978649,2323344704.3103447
llc_size,711628212.1228304,134383035.2238806,739570844.6975089,119725113.61161524
local_mem,141851753.27102804,6264387349.651741,8601380186.192171,5006966456.9147005
remote_mem,1104224.7263017357,48986529.75124378,28318082.27758007,31859892.268602543
