category,bodytrack,CG,freqmine,SP
runtime,28.91344141960144,108.87955379486084,140.08614897727966,164.75836634635925
l2miss,66773193.442028984,688484221.471286,72989312.91666667,660196986.62868
l3miss,2170091.6666666665,130283047.51779781,47504669.40909091,318974738.8034188
instructions,28008201105.94203,7129989798.0825815,18669488600.34091,25354822275.409943
cycles,12386597637.391304,16106929562.961557,16286543638.71212,19271624809.376385
stall_cycles,1231409077.9710145,11847628032.51068,8154574999.037878,9248886952.97246
intra_coh,6878705.507246377,315114.5514950166,10145654.545454547,42212.90281734726
inter_coh,1.2681159420289856,17.513051732320836,409.9469696969697,175.21367521367523
wall_cycles,2146758349.9275362,2121607198.025629,2200633166.19697,2157641502.962963
llc_size,409775712.4637681,713659979.5728524,240570243.87878788,761272316.7584679
local_mem,110200208.69565217,8368299615.984813,239461593.2121212,3310479985.615701
remote_mem,2657057.3913043477,43417988.79924063,3215708532.3636365,21661772785.4131
