category,swaptions,freqmine,streamcluster,MG
runtime,66.44272565841675,110.87196898460388,114.19323492050171,379.6082649230957
l2miss,10246731.293570876,57017323.04743651,167164476.44642857,455972867.15168154
l3miss,21597.04105344694,26466428.912314326,133730631.23214287,326794891.25051475
instructions,23609992458.76065,23600734964.599907,9737804975.785715,28712786201.721344
cycles,15378161791.18513,15071667055.591759,15018721834.3125,15334008729.468773
stall_cycles,3870186234.996127,5127480910.560614,9788926253.714287,3917418883.385038
intra_coh,8359926.800929512,12454364.504072832,11434843.75892857,204949.55936856553
inter_coh,0.29434546862896976,1041.3991375179685,2.0714285714285716,28.343170899107758
wall_cycles,2127469589.9302866,2213092405.673215,2120578086.8482141,2166090461.34523
llc_size,62264784.0123935,412946512.46765697,736137801.1428571,624109268.6012354
local_mem,184780.04647560033,1853740556.5117393,8684376649.142857,27968300970.25669
remote_mem,41626.274206041824,150096595.2275994,32480109.714285713,1440774730.1468773
