category,streamcluster
runtime,1.6243906021118164
l2miss,53954029.47368421
l3miss,154636.84210526315
instructions,3621121650.5263157
cycles,2024572381.0526314
stall_cycles,248548751.57894737
intra_coh,0.0
inter_coh,0.0
wall_cycles,2289356707.368421
llc_size,10347.78947368421
local_mem,68985.26315789473
remote_mem,137970.52631578947
