category,bfs,canneal,streamcluster,SP
runtime,38.97138452529907,69.2706549167633,119.37937211990356,238.35914993286133
l2miss,7664317.768707482,60978633.56973995,159658843.9439014,444149809.8359939
l3miss,3594052.5714285714,33846563.13632782,127756603.94390139,235543402.562869
instructions,5490466775.755102,2024301082.679275,9304139955.656609,17542625696.969166
cycles,2406352055.5646257,7790063158.770685,15186583064.521887,11429788992.053356
stall_cycles,507536527.3469388,6371119727.817179,10179015021.070972,4587759255.263503
intra_coh,593563.1020408163,174871.99369582348,11021105.27836804,19628.18718565493
inter_coh,0.29931972789115646,0.2994483845547675,7.148321291967701,0.28427727968510824
wall_cycles,2127110721.5510204,2267843666.572104,2117402546.2473438,2172876496.212552
llc_size,190773066.88435376,676424478.8652482,748801579.7365067,466065146.90575117
local_mem,385597774.3673469,2565326930.3073287,8467118623.986401,19399073034.244476
remote_mem,5007485.3877551025,5402975.823483057,29099320.900977477,101408110.56199431
