category,nn,canneal,CG,SP
runtime,76.21135878562927,79.716548204422,114.18244433403015,165.57668161392212
l2miss,102951062.11305517,54574641.80983607,650796971.842576,619081892.4509499
l3miss,11881.534320323015,40932388.59016393,122808472.19141322,356920944.07349735
instructions,9186200123.983849,1682921149.7180328,6735674150.357781,24975414155.708504
cycles,16208890674.966352,8994805744.118032,15886252630.813953,14898635505.456245
stall_cycles,10365894218.627188,7750438701.101639,11829379683.989267,5282700712.295236
intra_coh,75434818.49259758,2224408.550819672,277975.08050089446,51792.99906571162
inter_coh,0.5518169582772544,2.845901639344262,1.771019677996422,1.7253192151977579
wall_cycles,2118224242.934051,2174765425.4163938,2117179318.3184257,2145021029.461227
llc_size,389933907.7254374,112976328.6032787,194339446.15384614,710387380.9778886
local_mem,144026606.0834455,3385948166.714754,7917468054.669052,25949956627.29368
remote_mem,957901.6958277255,27983227.38360656,22771708.33631485,155789134.05169728
