instructions:u,cycles:u
2520318,1590644
2695547,2236788
4081831,1909348
81823,57135
4826254,2121393
1340472,881015
3072236,2000728
2808905,1916724
2084167,1356075
23627,42361
2972033,1979820
1016614,693154
2928813,1977117
3347208,2003723
2073845,1455009
11903,25490
846832,1489702
1486,17036
None,None
4677,31654
None,None
2196020,1744692
2885511,2162762
2957737,2210743
200923,158291
2962534,2126486
407099,387120
None,None
1084644,1071349
2198790,1655753
1362012,1335062
None,None
53590,155994
2743100,2004296
1225535,829590
2608234,2083405
3131619,2159460
1521416,1333209
None,None
2531494,2173867
796206,726004
2622447,2159948
2679432,2130691
2151467,1568929
None,None
2403394,2128799
1216420,950321
2311015,2224641
3267629,2227536
1987756,1717214
None,None
2068215,1893603
655157,721712
3115190,2215078
3067228,2036518
1914429,1621344
None,None
2190905,2004327
1611346,993272
2230622,2222452
2523307,2203199
713314,852331
None,None
1495,15151
5069,33784
None,None
1257996,1227172
3058538,2946185
3163413,2652987
101861,134989
2692042,2500277
1715998,1568751
2121000,1907441
213150,222038
504466,542312
2608970,2505207
1431703,1244848
3008459,3146410
2674124,2128266
1569371,1378794
None,None
379265,440411
2404264,2352120
2211916,2486343
2839866,3102440
3203489,2058927
1410339,1081881
None,None
554249,635165
4393147,4059353
1001925,1058172
2693181,2168737
2044084,2208418
2860873,2647035
None,None
244293,296483
3098311,2971423
3227207,2971518
967684,1106636
1670681,2061910
1477212,1701438
6061233,2169315
7011812,2357131
2615589,2162957
77110,118445
2478719,2840089
1487773,1826179
3177640,3530858
3190163,3355318
9737192,7563727
3446679,3556247
3667631,3428844
3421567,3698835
4881479,4271096
1681086,1783434
1466824,1667324
1042009,1064349
1434095,1424785
5573587,4048310
3619624,3541349
5203494,4964479
6506414,5904641
3983132,3617153
3463335,3412690
4131719,3903723
5311297,4327390
7272763,6415526
None,None
2441038,2054658
2939677,2669989
2113565,1899178
14617018,12918660
11726,39084
3647958,2946735
3458570,3583654
4642765,4260003
2800120,2650413
2578667,1883201
1932841,957966
12900575,10255898
493894,605447
5138445,4328377
6321649,5781624
15598539,11365093
2460857,2653613
4781400,3956372
2924375,2781690
2643365,2865098
3491241,3251655
2648958,2579302
3967622,3683001
1430545,1536920
18257,58981
4361338,3973557
4982066,4285195
4408441,4354435
4687588,4267491
3025113,2634316
2021336,2362675
None,None
4905002,4406349
6527337,5703571
2644555,2447676
None,None
4782508,3708565
2257069,2306160
4252944,2286643
5841708,3710719
2239323,2238627
1997942,1767712
1044767,870172
3268083,2323225
202752,286692
None,None
0,0
1617503,1079266
217153,358071
168728,226456
345355,517039
2497594,1092810
7221247,2369586
1068937,408858
736794,814494
463180,621202
508289,726467
41381,148128
15432,57172
1070982,896382
399394,432593
435636,265682
64708,175925
None,None
711697,714652
726302,802773
1692242,1207951
379199,623377
485933,626412
15199,38977
15582,66687
417488,636966
423513,616998
532928,689194
52679,174133
380582,522978
384447,550398
1196045,1257580
25011,54599
23329,48778
23677,48199
0,2754
21385,45293
9963,24128
23571,48694
25029,52139
456871,602740
386849,536051
53683,175863
381210,523268
262716,355883
88177,164066
809920,1067022
1138273,986049
1551692,1401535
1253756,973901
750489,581855
None,None
1135322,886862
610406,475990
1448387,1124722
1446210,1121778
1053732,816328
None,None
1396047,1090814
599002,467895
1217607,943949
1179026,914911
864213,668050
None,None
1140468,889274
449762,350455
1169414,908620
1179046,915728
870566,673334
None,None
1031302,803640
452987,354061
974884,841802
110436,521984
1053804,1479209
None,None
1650135,2178244
739385,1024195
1804665,2387535
1813724,2398312
1295078,1709261
None,None
1721733,2233285
775753,1020895
1857585,2388814
2907613,2225864
2356196,1613725
None,None
2959134,2138941
1278195,960260
3098134,2222986
3140751,2246093
2241302,1616220
None,None
2920359,2200417
1208273,957296
2986159,2233511
3002875,2255619
2149063,1638199
None,None
2781751,2192357
1023673,831628
2893835,2240752
2968180,2236098
2290616,1748571
None,None
2703992,2179670
1161317,957025
2861745,2242176
2925978,2270371
2186068,1698475
None,None
2735239,2195863
937464,793412
2802207,2232698
2891677,2258184
2196737,1713764
None,None
2258743,1855319
939261,810337
2811475,2255306
2833502,2265586
2109193,1648393
None,None
2704752,2229918
1102200,967268
2789085,2250058
2826606,2243232
2152835,1699998
None,None
2630780,2188484
935416,793054
2684844,2193795
2828915,2263262
2131757,1702844
None,None
2654437,2205391
864847,746980
2718144,2232870
2832467,2257092
2037404,1657057
None,None
2632641,2210158
1105713,974327
2739183,2249713
2838194,2262663
2154653,1762622
None,None
2573415,2204860
859817,758578
2693487,2253877
2785372,2276024
2095185,1703490
None,None
2603693,2185524
1119127,971909
2795363,2277138
2852388,2290245
2074201,1658287
None,None
2368697,1990049
1070427,922275
2816244,2272732
2818906,2275794
2087233,1672992
None,None
2357285,1990679
835720,734806
2768541,2272400
2874733,2278947
2071811,1655412
None,None
2600751,2232803
857475,772345
2777627,2270526
2854243,2293817
2070894,1673928
None,None
2387862,2033325
1087526,970290
2751512,2286910
2811967,2267274
2051787,1655782
None,None
2353664,1996137
891569,808941
2793140,2282345
2774067,2277693
2048838,1652921
None,None
2336213,1990906
1076690,949305
2712483,2251681
2770327,2253028
2110473,1709882
2660600,2239423
2751155,2227007
2721489,2212322
None,None
2214835,1932115
543399,432832
2236265,1949781
497237,403680
2445760,2140045
496980,408794
2562213,2179846
633267,519791
2593296,2224826
569831,458017
2638519,2257707
559633,451507
2561444,2220810
619969,513803
2453173,2088740
487765,400714
2431896,2097711
512542,419048
2257455,1978883
528453,420669
2566202,2222935
608196,506818
2338610,2035782
499921,409883
2538808,2189592
510558,422247
2592117,2271267
519817,445644
2531967,2234827
628279,522411
2570216,2242563
597738,495096
2213116,1938886
478038,404200
2563347,2258809
574471,473240
2534942,2247270
602883,516929
2553922,2251847
580931,479599
2571254,2246176
622441,513425
2574640,2258152
1114427,990452
2713956,2312873
2725137,2267808
2419663,2019448
None,None
2526899,2246742
2703161,2287825
2542830,2171043
None,None
2514746,2217821
2691375,2247551
2729971,2253846
None,None
2319235,2064827
2632173,2235254
2687938,2246264
None,None
2094426,1832957
2668992,2238427
2719224,2266331
None,None
2436196,2160120
2657347,2242881
2698652,2245526
None,None
2586573,2234330
2621794,2225837
2747847,2299852
37346,25400
2333893,2013500
2652768,2273482
2526328,2135029
None,None
2332721,2008832
2723603,2310520
2537990,2127646
None,None
2476640,2241457
2636383,2237877
2725771,2289613
15368,10945
2548701,2209071
2718251,2290847
2575601,2165406
None,None
2516170,2213107
2587542,2237324
2683970,2276508
None,None
2205069,1957687
2645669,2235557
2628265,2233567
2170321,1912304
989815,893217
3964104,3351445
2701397,2303539
646084,536929
2565676,2248434
2608464,2235878
2694068,2290204
None,None
2180270,1944371
2593040,2242694
2588654,2218455
None,None
2534003,2263172
2625987,2237443
2706861,2292553
None,None
2358095,2093584
2677778,2295502
2537901,2187714
None,None
2514495,2258089
2551659,2232501
2711548,2277869
None,None
2515057,2237536
2621793,2240062
2648680,2299311
16573,9551
2359236,2111203
2634019,2277739
2520862,2174643
None,None
2429067,2176763
2639030,2258732
2589406,2235556
None,None
2178876,1921460
2612441,2250009
2631538,2271084
None,None
2472461,2236833
2596624,2243931
2704931,2305562
31446,23206
2401629,2138524
2640831,2285635
2549529,2173987
None,664
2609200,2300055
2558873,2242927
2640443,2307768
268971,221644
2485131,2235423
994381,940983
2614982,2275365
2648945,2306937
1995165,1718733
None,None
2307947,2118341
805404,746837
2508857,2207636
2606255,2302208
1868859,1631457
None,None
2428671,2226028
1069981,993728
2570617,2298643
2566207,2283202
2061383,1802124
None,None
2089794,1880960
863590,822209
2585484,2296017
2578905,2279991
1958678,1727510
None,None
2450300,2247275
1049127,983628
2550933,2285916
2610852,2305000
2052904,1792184
None,None
2449679,2267159
1028427,988310
2558237,2289026
2585791,2290282
1972041,1761299
None,None
2413290,2217404
815498,756865
2483504,2241380
2618401,2315485
1883794,1647120
None,None
2434976,2256367
810161,757931
2600618,2307133
2616190,2312431
1893674,1681171
None,None
2222832,2069501
1017798,986634
2574377,2300195
2566543,2285418
1925916,1725925
None,None
2173401,2024802
1004668,969439
2509982,2287938
2553067,2286826
1959704,1730397
None,None
2403450,2261409
1022618,990095
2535142,2290873
2556119,2297012
1964940,1782551
None,None
2438817,2271215
1073776,1029414
2548027,2301017
2579119,2310526
1854035,1644866
None,None
2344946,2147962
2586352,2314754
822789,775261
3654079,3311902
2594398,2299014
616361,537572
2431921,2272834
818838,771786
2486352,2288498
2575683,2321519
1939175,1692089
None,None
2355258,2153972
1022353,985513
2536174,2300388
2575719,2295874
1907282,1706852
None,None
2354608,2201988
1079071,1038633
2526472,2300472
2604197,2329914
1839209,1649501
None,None
2425488,2257309
890917,846839
2472772,2277604
2549015,2317071
1999764,1807853
None,None
2426897,2267842
1037155,1002746
2525981,2297133
2531685,2312930
1921312,1731172
None,None
2227180,2084322
1048839,1006075
2480109,2288394
2547673,2301889
1932433,1744239
None,None
2384076,2260750
863663,804790
2517350,2297844
2576700,2311477
1980699,1757594
None,None
2401843,2272932
886115,858438
2466953,2304350
2481714,2269512
1970538,1781157
None,None
2201807,2069022
975158,964692
2530252,2297709
2564995,2318682
1840203,1629981
None,None
2396087,2272375
1037421,1034965
2495262,2298840
2520654,2317344
1823146,1655256
None,None
2394795,2265734
1008050,983405
2519499,2337628
2509276,2317700
1907971,1748987
None,None
2460287,2285841
789956,754475
2447600,2227545
2519552,2323691
1787191,1664588
None,None
2014858,1886793
994857,994898
2457131,2298018
2502398,2307597
1922094,1734206
None,None
2376468,2261453
884547,858461
2452217,2289279
2525895,2310858
1998707,1821348
None,None
2355576,2250342
1001413,989854
2511510,2326406
2474990,2291394
1957844,1791258
None,None
2391432,2293269
988142,979764
2471222,2301267
2512380,2308013
1892147,1724224
None,None
2339263,2258607
990197,982192
2471191,2309227
2518359,2324790
1916008,1746168
None,None
2379464,2281361
817443,806030
2452125,2293291
2494183,2318443
1874003,1729846
None,None
2207124,2098513
897351,896533
2455888,2307225
2509932,2308105
1897216,1731401
None,None
2361635,2268933
975124,948168
2462104,2304735
2465498,2300873
1951888,1814621
None,None
2350255,2266296
820029,812564
2409489,2291236
2479970,2310861
1919851,1772656
None,None
2321875,2267846
918863,937457
2434453,2303144
2477928,2311791
1922253,1807992
None,None
2007740,1924594
869794,867110
2466282,2305113
2451899,2292862
1870980,1739427
None,None
2195526,2128823
953443,949841
2428259,2297607
2475097,2307463
1852356,1725390
None,None
2359897,2270118
773849,765340
2367471,2254074
2459941,2321209
1791248,1691504
None,None
2182853,2114568
773940,754370
2345657,2225743
2493022,2333952
1760934,1640678
None,None
2038492,1973162
977743,976463
2425914,2300011
2460240,2323398
1797714,1684889
None,None
2151935,2093017
950979,952698
2404968,2300095
2454810,2295539
1861673,1747107
None,None
2077448,2011724
943973,961372
2442935,2318028
2447811,2307013
1854168,1752181
None,None
2099154,2023275
1002235,1006954
2428401,2309002
2440894,2320911
1793701,1686310
None,None
2104788,2039903
961274,963523
2421427,2308729
2450887,2307985
1849786,1724459
None,None
2331066,2285939
776011,770148
2412267,2310033
2463060,2319748
1912764,1802330
None,None
2032908,1991245
934917,946889
2412326,2302931
2456190,2326804
1760172,1668027
None,None
2105238,2051452
934426,937282
2410832,2308706
2416165,2310214
1753164,1658325
None,None
2332910,2284819
849367,867292
2410307,2330616
2413626,2327966
1742323,1650534
None,None
2055147,2007855
820669,848413
2375219,2309415
2421488,2314510
1814292,1727356
None,None
2272356,2270862
830539,840104
2390176,2308515
2407562,2318954
1825761,1756357
None,None
2098033,2047900
913369,926906
2374377,2307784
2398684,2323599
1713326,1660246
None,None
2285754,2272179
765957,769822
2302791,2228488
2400650,2330648
1756770,1696696
None,None
2288850,2267610
774298,772740
2350106,2309041
2435232,2327457
1777938,1698856
None,None
2279275,2263105
755927,775950
2375589,2326553
2416249,2326857
1806570,1732908
None,None
2058772,2043423
877253,918733
2385397,2312230
2386668,2309732
1767147,1715162
None,None
2232598,2230600
958347,994566
2375144,2314132
2377649,2321248
1799705,1723283
None,None
2145204,2129975
768713,759839
2382752,2310904
2391607,2328364
1675131,1617659
None,None
2275697,2276643
775499,780871
2307929,2277665
2372300,2311757
1804643,1729009
None,None
2263342,2263446
854342,874788
2346005,2305446
2383036,2306527
1880475,1823806
None,None
2209382,2259348
970897,1002826
2363488,2316705
2385033,2314217
1858034,1801842
None,None
2244871,2281999
776256,785643
2336987,2313343
2421748,2343915
1759374,1713624
None,None
2041442,2035432
772046,770108
2284684,2249161
2362284,2322882
1708995,1648553
None,None
2123793,2171159
758715,760601
2355380,2316880
2332522,2311950
1671604,1636443
None,None
2112309,2126641
752758,764779
2312041,2317890
2389537,2331475
1619852,1577917
None,None
2209919,2216406
757356,759495
2299690,2298996
2374741,2322626
1719567,1677727
None,None
2209223,2255047
945630,1007603
2345687,2306117
2372834,2315400
1861910,1815647
None,None
2184337,2263922
880392,921966
2369307,2337302
2380131,2314057
1799198,1800542
None,None
1985103,2005213
890167,938969
2351130,2331898
2337842,2320067
1722818,1690219
None,None
1925795,1928768
811813,846988
2329350,2307347
2313295,2302728
1790252,1748424
None,None
1967421,1977153
849911,883618
2314784,2298760
2314071,2308528
1785430,1743486
None,None
2234172,2280568
751695,775614
2302047,2323641
2382142,2340448
1689973,1672152
None,None
2060654,2091671
918978,965222
2273300,2301374
2337835,2310700
1776801,1742510
None,None
2230648,2276597
937062,1024997
2357229,2327983
2346540,2330482
1642747,1616965
None,None
2067009,2146466
749720,765096
2249318,2247821
2353015,2343664
1652824,1645568
None,None
2171601,2276483
952144,1001315
2298010,2302443
2335163,2325689
1730035,1754552
None,None
1936731,1942969
857020,911536
2303547,2320320
2308003,2307844
1713138,1732952
