instructions:u,cycles:u
3363291,3102064
3237764,3201515
3867563,3731959
2542077,2278297
3591981,3139522
2817627,2653660
4506987,4262663
4227845,3955900
3356212,2999892
2240387,2223117
2525901,2384600
10404298,8566485
3855286,3871427
3447712,2333448
4348500,3740995
6195294,3663996
3702937,3042626
3617808,2274783
1240109,1250934
None,None
None,None
None,None
1722,17809
183313,285469
0,0
1624463,1041505
389329,629191
467796,694694
6523911,2310832
4237889,1579806
879062,854885
374581,592341
642121,882004
1053083,945346
854592,882972
1002809,823924
1830274,1303449
437596,734212
678856,912395
432543,702952
792317,1061319
475703,727857
676670,807517
506612,740625
718862,915077
2439353,1797559
4299053,1756686
6138644,2089313
6016860,2052308
6038405,2065343
6156348,2099231
4588247,2109957
3925322,2332841
4147251,2338198
3560712,2333906
4087178,2362195
3778480,2366743
3783585,2390802
3979423,2382352
2669682,1776754
None,None
None,None
None,None
None,None
None,None
None,None
None,None
2283561,1537091
3897172,2379946
4058455,2382846
4017952,2358927
3949889,2383952
3651583,2382460
3640297,2352462
3787009,2386170
3920342,2383782
3999560,2381937
3828118,2369942
4096402,2385916
3989198,2379164
4038958,2311332
3915214,2270883
3906517,2381047
4030253,2395928
3740862,2364583
4009864,2388523
3725685,2384690
3590205,2312893
3992283,2385748
3925948,2381312
3960810,2384462
4089068,2374369
3897545,2386559
4055290,2386455
3953855,2304888
4170578,2383427
3824985,2382537
4025094,2383344
3840638,2368574
3822797,2388086
3827280,2384692
3852480,2313286
3918907,2386820
3939717,2381103
3842797,2380132
3846760,2374113
3834440,2383412
3816672,2383189
3426767,2060744
None,None
None,None
3200712,1918989
3950685,2368441
3839020,2388426
3831973,2379865
3874851,2326836
3941919,2381999
3918750,2383367
3875709,2382243
3912415,2375966
3975193,2387427
3879182,2383846
3639624,2320342
3917202,2391273
3923200,2384247
4020668,2383404
3946297,2370442
4025818,2387731
3693887,2383374
3629155,2311098
4012575,2382195
3985854,2380622
3825091,2380375
3973322,2372753
3909997,2386149
3866149,2382801
3676374,2294538
3866046,2385986
3868902,2384218
3827797,2380351
3850364,2370638
4036290,2387390
3836259,2384745
3927344,2375111
4005150,2385053
4097564,2391029
4155842,2379769
3842704,2384511
3873542,2386927
3797178,2383075
3906815,2353623
None,None
None,None
None,None
None,None
3821595,2363553
3961886,2383941
3753838,2246700
3757237,2386014
3840457,2385776
3888171,2388525
3827661,2372674
4017503,2382304
3970872,2383790
3853382,2381453
3827250,2385934
3966152,2382986
3953404,2382936
3906850,2376417
3874696,2383368
3924895,2383429
3980117,2393720
3886805,2383119
3736188,2380736
3908034,2385802
3890167,2363992
4008339,2381929
3977540,2383084
4018751,2380320
3736232,2411179
3739859,2380337
4018454,2379963
2078093,1217442
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
7810,12358
3536728,2180954
3824778,2362180
3979810,2387431
3893428,2382670
2471432,1554712
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
6099,12107
3606883,2285168
3788799,2387815
3425483,2152625
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
3684476,2343696
3807925,2383500
3896804,2365033
3806551,2387084
3826095,2384375
3885451,2360813
3991802,2394366
4015418,2387511
3821807,2385785
435284,240085
None,None
None,None
None,None
None,None
6601,11956
3574278,2221877
3661632,2368823
3873264,2384858
3794276,2386950
3907296,2366341
3840015,2388897
3757951,2386047
3773871,2383267
587306,371849
None,None
None,None
None,None
None,None
None,None
7026,12588
3257324,2042963
3749721,2387160
3730688,2308185
3889612,2388610
3822088,2390598
3703395,2387595
1577053,992609
None,None
None,None
None,None
None,None
None,None
None,None
None,None
3633916,2348113
3671553,2341323
3786567,2391897
3723315,2388225
3702508,2322077
3740905,2387574
3716401,2388896
3826579,2388084
3835800,2380609
3722017,2393570
3658447,2353150
3585579,2335267
3666828,2389584
3709155,2383781
3855919,2388118
1067718,635530
4988,11024
3893079,2392141
3908680,2379213
3726324,2388037
3888459,2388693
3831600,2365483
3776408,2389629
3949651,2387550
3837244,2387906
3733912,2376472
3808588,2388555
3809984,2383108
2494542,1525826
None,None
None,None
17420,12281
3903549,2329201
3922219,2391571
3617529,2307053
3856247,2385209
3875226,2385868
3785030,2385501
3742228,2374224
3887109,2388417
3775053,2391726
3442916,2203918
None,None
None,None
None,None
None,None
None,None
None,None
3805958,2319998
3884498,2391635
3719891,2330487
3776828,2320112
3867014,2332744
3781363,2327883
3909069,2372133
3807928,2309063
3817517,2385891
3868264,2382555
3835950,2315435
3760225,2354543
3800999,2381368
3870888,2385252
3788750,2373430
3803265,2330722
3849931,2386766
3738450,2347778
3909952,2384013
3950751,2382829
3794519,2348335
3706063,2362421
3777723,2393264
3721879,2380964
3753390,2381535
3948862,2383864
4049044,2382232
3958737,2380668
3825521,2372150
3901343,2352971
4020902,2382545
3846784,2382011
4055106,2387315
9637182,5958161
3515653,2130523
3877652,2386601
3817085,2266329
4148288,2383126
3755028,2382226
3978784,2383676
3916118,2379764
3907398,2382543
3785480,2384122
4038567,2407883
3832775,2389937
3780707,2389230
4010458,2384899
3896193,2367506
3854349,2383304
3995955,2385280
3873286,2325101
None,None
None,None
3888911,2346641
3956361,2386503
3873124,2305407
3834718,2388202
3952677,2390736
3992303,2381045
3786382,2368434
3922450,2398957
3897368,2383124
3729474,2317961
3943968,2390040
3842597,2380217
3829981,2381882
3980393,2370473
3953437,2390516
3842964,2385703
3651078,2314930
3742702,2383110
3770393,2385912
3818656,2381170
3967764,2367747
4021202,2384707
4019789,2382969
3666112,2296413
4047223,2386945
3912839,2384690
3927737,2389307
3945807,2366509
3982197,2385258
3746136,2382176
3873605,2376575
3920734,2393313
23932581,14279080
3852715,2228620
4014801,2380324
3832375,2223800
4064485,2385593
4124715,2381117
4091800,2387578
4142487,2391442
3998785,2388696
4036540,2380775
4148715,2385439
4070687,2389543
4118195,2383840
4031115,2385291
4126421,2375259
3898718,2387942
3932304,2383652
3968873,2384853
4134184,2383684
4067982,2380470
4145268,2384868
1934899,1153251
None,None
None,None
None,None
None,None
None,None
None,None
None,None
408882,256589
4087918,2380758
4008274,2306997
4076234,2384829
4152036,2382913
4049847,2381051
4079370,2376849
4081783,2386457
4057073,2383492
3888346,2318532
4047431,2397524
3955833,2383079
4174336,2382559
3991790,2386920
4043447,2384508
4056289,2381245
3795932,2290393
4102433,2388400
4095648,2380442
4107750,2380209
4064963,2383131
4106083,2385689
4172766,2381613
4163401,2386521
3996007,2386463
3941740,2383400
4113700,2384244
4035907,2385388
4049628,2383347
4132762,2381368
4050492,2386008
4149865,2383469
4133992,2380592
3971592,2385141
3985461,2378186
4141930,2384977
4149312,2384766
4008829,2382698
4177935,2407764
4040893,2383867
3898753,2382422
1934022,1186896
None,None
None,None
None,None
None,None
None,None
6546,11825
3761309,2263098
4070448,2382074
3862560,2259465
4121327,2383643
4009757,2383488
4066312,2384295
4097241,2371742
4106663,2390945
4094789,2381099
4054916,2383410
4053019,2387138
4016992,2349452
4041224,2385392
3993899,2374990
4000191,2394997
4022321,2381419
4129100,2383339
3994097,2385970
4025497,2385324
4044482,2380179
3956669,2370802
4116435,2386095
4078033,2386905
4134433,2382785
12351,1995
None,None
None,None
None,None
None,None
573602,352159
3796619,2225211
