category,swaptions,freqmine,SP,streamcluster
runtime,63.801746129989624,85.25717115402222,156.52995920181274,179.39548349380493
l2miss,57693260.82089552,792732807.2743738,4520377947.275285,659171029.9086516
l3miss,759144.0298507463,118191769.69514036,2614722817.59608,545789723.0980849
instructions,539316587829.10443,365124751205.40295,179495104979.21866,39713801224.73812
cycles,341555535198.5075,200372907115.45425,114674917492.62671,82436129814.02321
stall_cycles,82159583958.20895,48893392069.423485,45150727017.33291,60991555718.47776
intra_coh,38896830.2238806,203473830.06338665,451388.26625527476,44472444.291609354
inter_coh,581.3432835820895,119.37820706308482,103.99745904986615,16.15349345748245
wall_cycles,32954900853.358208,23207031648.204044,14015466706.973999,11665503376.432829
llc_size,552703235.8208956,34152415855.11621,34972327847.90598,16404102514.442917
local_mem,25138435.820895523,3912358751.5846663,198614854519.35205,32702041008.147285
remote_mem,12789301.492537314,682994709.326894,11957749290.258179,2522614772.3344975
