category,nn,freqmine,streamcluster,SP
runtime,79.93205976486206,86.64100861549377,140.08313751220703,233.83068823814392
l2miss,102332382.30818826,75688571.68173598,135789793.44690105,463055718.8069705
l3miss,13186.060606060604,50859857.07052441,106046048.30735774,258289372.30116174
instructions,8992087659.729206,29714024420.14467,8024762736.687206,17908659964.647007
cycles,16279481420.86396,19296137921.1091,14562469281.877491,12910038545.88025
stall_cycles,10502868367.49194,6796588221.30199,10248512658.39797,5836961763.8114395
intra_coh,72368663.1463572,14033597.950572634,9391171.64189924,25133.235031277927
inter_coh,1.096067053513862,1.4345991561181435,2.355926060166727,0.7774798927613941
wall_cycles,2123629144.6550612,2175160675.382761,2117472349.7064152,2176748698.47185
llc_size,686754744.0361058,132802245.2079566,530625917.91228706,420843025.844504
local_mem,137164185.99613154,3065753538.2760696,5585131842.899601,22935620449.687218
remote_mem,987054.132817537,16765997.058468957,16470700.39869518,127694465.487042
