category,streamcluster
runtime,3.4900975227355957
l2miss,21655474.64285714
l3miss,59993.571428571435
instructions,1453044457.5
cycles,822643149.6428572
stall_cycles,104110967.14285715
intra_coh,0.0
inter_coh,0.0
wall_cycles,2155742921.428571
llc_size,62025.142857142855
local_mem,70217.14285714286
remote_mem,46811.428571428565
