name,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster
runtime,15.797370910644531,1.5875725746154785,8.011371612548828,4.502891778945923,3.396929979324341,2.894473075866699,2.4149441719055176,2.1026999950408936,1.9339509010314941,1.7313642501831055
l2miss,9285305.0,55801592.222222224,14738830.14084507,18420673.0,22232300.754716985,34351035.75757576,32606802.285714284,39053771.03448276,43186075.199999996,50036493.63636363
l3miss,27052.083333333336,144924.44444444444,47039.718309859156,51589.0,63278.867924528306,96412.12121212122,97025.71428571429,106764.13793103448,131300.0,151380.9090909091
instructions,626908751.25,3747300175.555556,990460723.6619718,1231392360.6666665,1491423733.2075472,2309337831.5151515,2177781748.571429,2621355851.034483,2898859746.3999996,3354845086.363636
cycles,446305134.1666666,2095879365.5555556,694386646.1971831,706536247.3333334,843032114.3396227,1304974612.1212122,1227846854.857143,1473921527.586207,1626765351.2,1884269632.7272727
stall_cycles,120944171.25,257756624.44444445,180689588.73239434,95881802.66666667,106152241.88679245,163236984.24242425,153220104.0,182753010.3448276,200761188.0,232539994.54545453
intra_coh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inter_coh,0.0,0.0,0.28169014084507044,0.6666666666666666,0.7547169811320754,2.4242424242424243,0.0,0.0,0.0,0.0
wall_cycles,2103150945.4166665,2334983926.6666665,2103842551.8309858,2147188403.0,2164251124.9056606,2198544158.181818,2200523500.5714283,2201680759.3103447,2236116999.2,2257911089.090909
llc_size,68266.66666666667,54613.333333333336,38767.77464788732,3276.8,3709.5849056603774,5957.818181818182,11234.742857142857,15819.034482758621,7864.32,137029.81818181818
local_mem,27306.666666666664,291271.1111111111,18460.845070422536,21845.333333333332,24730.566037735847,39718.78787878788,187245.71428571426,45197.24137931035,52428.8,119156.36363636365
remote_mem,1228800.0,145635.55555555556,73843.38028169014,109226.66666666666,49461.132075471694,79437.57575757576,37449.142857142855,271183.4482758621,104857.6,1429876.3636363635
