name,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster
runtime,15.736068725585938,1.6217591762542725,7.893249750137329,4.932530403137207,3.495771646499634,2.8043251037597656,2.445549488067627,2.1060729026794434,1.9121410846710205,1.7641568183898926
l2miss,9635032.549019609,53934510.52631579,15136786.666666668,28860199.06976744,22100060.377358492,27640393.80952381,44965647.27272727,38855111.428571425,43990732.800000004,48178396.52173913
l3miss,32942.74509803922,161560.0,43079.722222222226,81529.30232558139,64206.41509433962,84266.19047619047,142198.18181818182,113552.85714285713,125627.2,151201.73913043478
instructions,650946910.1960784,3616092976.8421054,1012732953.0555556,1929871250.2325583,1482459347.54717,1853625734.2857144,3021067054.5454545,2611087889.285714,2954643906.3999996,3238710097.3913045
cycles,463054688.627451,2021601460.0,711299487.2222222,1227052657.6744184,838568386.4150943,1045011303.3333333,1697581009.090909,1465765142.142857,1658081660.8000002,1818568046.956522
stall_cycles,123859760.0,248093102.10526317,184854762.22222224,244556694.8837209,105924781.13207547,130231224.2857143,210361487.27272725,181407090.7142857,204700141.6,224223027.82608694
intra_coh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inter_coh,0.0,0.0,0.0,0.0,0.0,1.4285714285714284,0.0,2.8571428571428568,0.0,0.0
wall_cycles,2161899152.9411764,2264687308.421053,2103381068.3333335,2103482345.5813954,2163918838.8679247,2183840249.047619,2105076794.5454547,2261358120.0,2217321610.4,2230847288.695652
llc_size,7710.117647058823,17246.315789473683,162929.77777777778,129547.90697674418,7419.169811320755,98304.0,8936.727272727272,4681.142857142857,55050.24,82632.34782608696
local_mem,51400.78431372549,137970.52631578947,36408.88888888889,91445.58139534884,49461.132075471694,93622.85714285713,59578.18181818182,514925.71428571426,104857.6,341926.95652173914
remote_mem,102801.56862745098,206955.7894736842,54613.33333333333,2621440.0,98922.26415094339,2715062.8571428573,119156.36363636365,0.0,262144.0,113975.65217391304
