name,canneal,canneal,canneal,canneal,canneal,canneal,canneal,canneal,canneal,canneal
runtime,33.29850363731384,2.8629531860351562,14.420936346054077,9.602808952331543,6.628307580947876,5.3967437744140625,4.436280727386475,3.928877115249634,3.4582247734069824,3.120274066925049
l2miss,3741982.61682243,22283452.27272727,6869457.697841726,9442458.679245284,14829744.923076924,14075271.594202898,13364139.210526317,15486038.461538462,17924970.35714286,20208264.8
l3miss,838946.5420560748,5335572.727272727,1645157.8417266186,2226417.5471698116,3470043.384615385,3292709.855072464,3181015.7894736845,3652458.769230769,4274896.071428572,4878268.8
instructions,249534859.25233644,1363242646.818182,468164647.3381295,618741326.9811321,969023084.0,908875488.405797,858868051.5789473,973997156.6153847,1113428045.357143,1241896849.6
cycles,451579527.1028037,2038719619.5454547,738938377.9856116,985967017.3584905,1398302422.7692308,1307263338.2608695,1244577135.5263157,1433164723.6923077,1649710108.2142856,1837207265.2
stall_cycles,301042595.3271028,1212629190.0,459267456.4028777,612600982.4528302,816609532.9230769,764182371.884058,728713907.3684211,848056611.3846154,974965905.0,1088848742.3999999
intra_coh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inter_coh,0.7476635514018691,0.0,0.0,0.0,6.153846153846154,0.0,0.7894736842105263,0.0,0.0,0.0
wall_cycles,2134465393.8317757,2183199145.0,2103707085.6115108,2137473980.3773584,2103858855.6923077,2150208762.0289855,2151192676.8421054,2153388350.769231,2166830831.428571,2190170457.6
llc_size,36342468.18691589,35131764.36363637,35903826.87769784,36345894.641509436,36747547.56923077,33723495.88405797,35784380.631578945,35087974.4,35354331.428571425,36621516.8
local_mem,51681567.10280374,285707170.9090909,87450484.02877697,120005071.69811322,178358744.6153846,169291835.3623188,166357962.10526314,188723515.07692307,226614125.7142857,255721472.0
remote_mem,220494.95327102803,2502283.6363636367,575208.0575539569,1508564.5283018867,1532534.153846154,2127545.507246377,2138543.1578947366,3407872.0,2878902.8571428573,2280652.8
