name,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster
runtime,15.83362603187561,1.6243906021118164,7.915839195251465,4.605695486068726,3.4900975227355957,2.8510091304779053,2.4777908325195312,2.1183457374572754,1.9152193069458008,1.7203047275543213
l2miss,9625112.0,53954029.47368421,14598740.27027027,20678675.0,21655474.64285714,52107802.85714285,32906670.285714287,38961628.27586207,43332813.6,49911071.81818181
l3miss,33204.4,154636.84210526315,42273.51351351352,53044.23076923077,59993.571428571435,144727.61904761905,93482.28571428571,102854.4827586207,118682.4,130062.72727272728
instructions,651327113.2,3621121650.5263157,978545032.4324324,1390426294.6153846,1453044457.5,3498652613.333333,2206167894.285714,2612341572.413793,2909085416.0,3350452469.0909095
cycles,464257112.40000004,2024572381.0526314,688211422.4324324,806759368.846154,822643149.6428572,1971487416.1904762,1242950765.7142856,1468577668.9655173,1630971295.2,1880533705.4545453
stall_cycles,124628853.6,248548751.57894737,180049603.5135135,116727122.3076923,104110967.14285715,245745383.80952382,154443714.2857143,181400206.89655173,200988211.20000002,231476564.54545453
intra_coh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inter_coh,0.0,0.0,0.0,1.153846153846154,0.0,0.0,2.2857142857142856,0.0,0.0,4.545454545454545
wall_cycles,2102542131.2,2289356707.368421,2149208387.2972975,2159488733.0769234,2155742921.428571,2102410165.7142856,2199055690.285714,2200491650.3448277,2245801843.2,2250414111.818182
llc_size,6553.6,10347.78947368421,2656.864864864865,3780.923076923077,62025.142857142855,28086.85714285714,0.0,2259.862068965517,2621.44,0.0
local_mem,26214.4,68985.26315789473,17712.432432432433,50412.307692307695,70217.14285714286,124830.47619047618,0.0,45197.24137931035,52428.8,0.0
remote_mem,104857.6,137970.52631578947,35424.86486486487,25206.153846153848,46811.428571428565,124830.47619047618,0.0,0.0,0.0,417047.2727272727
