name,canneal,canneal,canneal,canneal,canneal,canneal,canneal,canneal,canneal,canneal
runtime,33.31798839569092,2.8769893646240234,14.997074127197266,10.6366548538208,6.515919208526611,5.3554604053497314,4.501776218414307,3.9793925285339355,3.4608170986175537,3.114448308944702
l2miss,3773149.2156862747,22105779.545454547,6550363.636363637,8262225.61983471,9876087.010309279,13286536.266666668,13554149.61038961,15602190.153846154,17859878.57142857,20133201.200000003
l3miss,934247.2549019608,5481365.0,1522493.7062937063,1982829.0909090908,2310975.2577319588,3090771.466666667,3119218.441558442,3623256.615384615,4231041.785714285,4733940.8
instructions,247422241.96078432,1346708405.4545453,441178162.79720277,518527482.1487603,660546913.6082474,851099190.6666666,836608283.6363636,979317179.0769231,1114287156.7857144,1260995214.0
cycles,460761645.0980392,2044894581.3636363,731496084.8951049,939815518.1818181,940810918.3505155,1230256787.2,1227103222.5974026,1439239554.7692308,1645893535.357143,1859538138.4
stall_cycles,310700268.4313725,1225975479.5454545,463809636.6433566,622254742.8099173,546264184.3298969,720348692.0,722657649.3506494,850427336.923077,971081267.1428572,1096842585.2
intra_coh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inter_coh,0.0,1.8181818181818183,0.0,0.0,1.6494845360824741,0.26666666666666666,0.0,0.0,0.0,0.4
wall_cycles,2104683866.0784314,2184706880.4545455,2124993226.0139859,2128683676.3636363,2140550381.443299,2152923648.8,2148611566.753247,2153351994.4615383,2161709851.428571,2171414530.4
llc_size,36942386.196078435,34625349.81818182,37326189.202797204,37214157.22314049,35317823.34020618,34136391.68,35136658.28571428,35173675.323076926,35786166.85714286,36091985.92
local_mem,49087749.01960784,287107258.1818182,80998829.65034965,104467633.71900827,133004298.55670103,175811242.66666666,167142333.5064935,194873816.61538464,225326811.4285714,263638220.79999998
remote_mem,89951.37254901961,2770385.4545454546,687440.5594405595,1375714.3801652894,2337675.87628866,2097152.0,3149132.4675324676,2379460.923076923,2340571.4285714286,2228224.0
