name,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster
runtime,2.5968916416168213,2.4321203231811523,2.265380382537842,2.158024787902832,2.051863193511963,1.9422719478607178,1.8660774230957031,1.790339469909668,1.6857714653015137,1.6268446445465088
l2miss,30091697.36842105,32487001.111111112,35499123.22580645,37731490.66666667,40096823.7037037,43023282.30769231,45041264.16666667,47457935.83333333,51657619.047619045,53816340.0
l3miss,94011.05263157895,99976.11111111111,106162.58064516129,101408.66666666667,103434.81481481482,136893.84615384616,131665.83333333334,146707.5,142236.19047619047,168616.84210526317
instructions,2018068206.8421054,2181190860.5555553,2380177074.193548,2528628707.333333,2690033574.074074,2889370396.923077,3027968251.666667,3188566840.833333,3463253809.5238094,3603142452.631579
cycles,1166920736.3157895,1261236265.0,1374628906.451613,1462163904.0,1553225969.6296296,1662203153.0769231,1741213394.1666665,1837615455.8333335,1994162799.047619,2016503609.473684
stall_cycles,166503044.7368421,179892050.0,195936710.32258064,209641497.33333334,222828791.85185188,232802820.0,244530724.1666667,259046538.3333333,281439229.5238095,248115077.89473683
intra_coh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inter_coh,0.0,1.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wall_cycles,2198992114.736842,2189660270.0,2236055274.8387094,2222544576.6666665,2233908611.851852,2244969071.5384617,2217020683.3333335,2223212711.6666665,2275525022.857143,2292536477.894737
llc_size,6898.526315789473,10922.666666666666,2114.064516129032,4369.066666666667,7281.777777777777,7561.846153846154,10922.666666666666,19114.666666666668,6241.523809523809,13797.052631578947
local_mem,34492.63157894737,36408.88888888889,42281.290322580644,87381.33333333333,97090.37037037036,151236.9230769231,327680.0,218453.3333333333,0.0,206955.7894736842
remote_mem,103477.8947368421,218453.3333333333,0.0,0.0,48545.18518518518,0.0,109226.66666666666,163840.0,374491.4285714285,137970.52631578947
