category,canneal
runtime,4.4291369915008545
l2miss,13523229.47368421
l3miss,3189031.5789473685
instructions,865261347.6315789
cycles,1262707551.0526316
stall_cycles,740604658.6842105
intra_coh,0.0
inter_coh,0.0
wall_cycles,2152547600.5263157
llc_size,36493204.21052632
local_mem,155820463.15789473
remote_mem,1500429.4736842103
