category,nn,canneal,streamcluster,MG
runtime,78.9718906879425,103.69664525985718,112.34760808944702,383.0026595592499
l2miss,103779258.9041096,39406449.57803762,169921013.42093343,445159469.4002979
l3miss,11922.59621656882,24329165.917641077,135866305.18350703,320216673.8567754
instructions,8936862179.60861,1300441792.0386376,9890115522.736748,28316887491.8343
cycles,16262950296.425308,5091225725.460092,14986936252.958767,14551618081.72736
stall_cycles,10558561967.25375,4173643380.010168,9680001060.679655,3353779718.310546
intra_coh,76990858.31702544,151097.95627859686,11537098.550067965,153461.11005821035
inter_coh,0.20874103065883887,202.01321809862733,12.26098776619846,4.92757547042101
wall_cycles,2118618970.1108935,2139329161.13879,2117793894.6533756,2159959644.548531
llc_size,575859231.7286367,268279795.50584647,747996487.104667,628765177.1382158
local_mem,138960260.0913242,1796250802.5622776,8728336290.276392,28332956463.928524
remote_mem,1338935.107632094,65244802.928317234,31894978.52288174,458854558.0289698
