category,bfs,freqmine,SP,streamcluster
runtime,39.16382813453674,86.46849536895752,153.02103638648987,167.94547510147095
l2miss,6509338681.818182,452024284.80552524,3892246600.2515626,639951820.352707
l3miss,2674810863.636364,73890890.85786986,2184859036.0048738,529295695.67007476
instructions,3633728173068.182,222249471244.09305,155133210603.90707,37350258142.24937
cycles,1707380032545.4546,122586424380.58887,97022245254.3139,80395045939.51141
stall_cycles,421391480681.8182,30121907214.467464,37111669457.56849,59970578246.7577
intra_coh,561975750.0,123525229.0076336,299695.8059824693,45535002.779112056
inter_coh,1090.9090909090908,6.543075245365322,25.116937227310245,20.38015508131476
wall_cycles,17465142227.272728,15035332795.892403,12068595695.884596,10994385417.175598
llc_size,2566330181.8181815,29922228437.65903,36207242520.34118,11975675292.115557
local_mem,926440727.2727273,3493264145.401672,173213476959.55347,33162448200.91951
remote_mem,92346181.81818183,397932876.77208287,5579266877.874297,1809736638.4409523
