category,MG,canneal,nn,streamcluster
runtime,17.38762068748474,57.87425136566162,79.20525312423706,120.86910605430603
l2miss,3852994117.2804537,1084177252.413793,64369784307.69231,736277374.2635659
l3miss,2908680447.0254955,604247970.4827586,13362403.846153846,576586688.2945737
instructions,257855063060.62323,33389644604.965515,5110647784836.538,41896898849.84496
cycles,121036075602.83286,119149453441.65517,9362554250384.615,65701292796.43411
stall_cycles,24107899209.63173,95569315781.51724,6109344460134.615,43203939879.88372
intra_coh,1007440.2266288952,3049143.4482758623,45513782634.61539,48502308.25581395
inter_coh,44.19263456090652,3.0344827586206895,1711.5384615384614,13.372093023255815
wall_cycles,16402384903.116148,13605467122.206896,12739865413.461538,9153717065.155039
llc_size,35222091132.01133,40687099056.55173,14281176615.384617,37723418274.72868
local_mem,259119949887.8187,38415829203.86207,872132923.0769231,35757673575.1938
remote_mem,5317401672.521247,809247567.4482758,56083692.307692304,1981620668.5271316
