category,bodytrack,freqmine,SP,streamcluster
runtime,30.566359281539917,86.82427430152893,153.19090795516968,169.80046463012695
l2miss,1102771727.0214236,505729671.3921468,4130151684.039495,664581506.9585335
l3miss,50526954.38838977,86302570.627231,2310443820.022497,549972875.4226731
instructions,443211092636.48926,249257997865.27283,164589536639.0451,39955702860.9717
cycles,197306941170.0069,137745636740.64252,102368376753.48915,82674586748.67413
stall_cycles,20310866121.63096,33892656482.202953,38814199391.65938,61433110424.48834
intra_coh,107401682.79198341,129334453.44212136,343864.85022705497,47288814.486563444
inter_coh,331.0297166551486,5.303416624171342,21.955588884722744,31.60704751735184
wall_cycles,33212151668.279198,16776428598.674147,12660034272.75757,11354733572.130272
llc_size,7677721299.239807,29089074312.289646,35754896781.90226,12873176180.815092
local_mem,3365660837.595024,3743104848.54666,167318382652.83508,27438723047.944473
remote_mem,663014170.0069108,524127585.5175931,8127930184.726909,1482748792.5965474
